serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,300158,振东制药,-500398078.92,-302.72,8630.8195,-17.25,396910.6286,239204.951,-478.03,1724167.227,1963372.178,100162.0275,398037.6059,-297875.5784,595.28,2022FY,2022
2,300158,振东制药,79095930.45,-388.7,-24917.22,-315.03,,47283.8598,597.8,,,,,-14457.0467,-182.78,2023FY,2023
3,300158,振东制药,16361.96,34.9,-10779.29,-65.88,,42811.01,261.65,,,,,-15669.76,-95.77,2023HY,2023
4,300158,振东制药,254437509.6,-134.23,-22326.4688,-87.75,,63351.4376,248.99,,,,,-15581.2179,-61.24,2023Q3,2023
5,300158,振东制药,-149822253.09,39.87,-14982.2253,73.15,338476.1514,3951.2021,-19.29,636269.3783,628171.6718,12995.9889,22445.3049,-9449.316,46.14,2024FY,2024
6,300158,振东制药,-321728542.65,-1966420.31,-3153.97,9.8,,-14462.0388,44.95,,,,,-14556.8464,45.25,2024HY,2024
7,300158,振东制药,-151571463.33,,-2387.4405,15.75,,-4384.3438,28.93,,,,,-8385.362,55.32,2024Q1,2024
8,300158,振东制药,-402940.16,-1177.57,-40.294,-0.15,145694.2,34510.98,126.16,170800.3,210749.9,0.0,7116.71,-7116.71,-26.02,2025HY,2025
9,300158,振东制药,-11103.92209,99.99,-33000.993717,297.2,,25907.443479,-233.32,,,,,-4010.371852,36.12,2025Q1,2025
10,300158,振东制药,-602736850.57,-444.12,-60273.685057,219.41,,39143.285328,-142.49,,,,,-6340.743336,23.08,2025Q3,2025
