serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,300158,振东制药,-56998800.0,-100.0,81087881.56,396910.6286,,388279.8091,151755.5526,29091.0183,,17810.7393,,586937.1193,8630.8195,8630.8195,-5252582.7,46151417.42,2022FY,2022
2,300158,振东制药,-4398.41,14.24,9489.4745,362601.61,-8.64,179941.6384,147586.0576,28587.701,-956.6083,19101.5446,3482.8933,377743.2267,-2998.3444,-3769.2658,-3624.249,1744.8996,2023FY,2023
3,300158,振东制药,1454.24,-40.99,,193288.8842,,98289.93,71564.53,12255.03,-669.99,8874.0207,1820.4705,192133.9912,95000.0,95000.0,,,2023HY,2023
4,300158,振东制药,-87.4205,-103.53,,278374.5445,-0.55,136960.9399,107275.6701,19835.5911,,13728.3368,2534.1313,280334.6692,1173.7349,1115.7389,,,2023Q3,2023
5,300158,振东制药,-132856.3928,-2920.55,7313.2495,297112.7573,34.96,,113945.6991,30117.8512,-121.0034,35147.7781,,179090.325,31573.6505,31573.6505,-29407.3446,319.7892,2024FY,2024
6,300158,振东制药,2810.1714,130.55,1234.1963,150660.2246,41.43,4553.016,2329.567,6596.5886,-2127.651,3362.6048,355.9785,15070.1039,76036.391,85338.9006,,,2024HY,2024
7,300158,振东制药,2234.7124,,1453.5258,78213.0269,,43491.8774,26526.3924,4859.7411,-44.896,3844.7734,,78677.8883,3228.9666,,163.0943,-60.4975,2024Q1,2024
8,300158,振东制药,650.3597,-76.86,3225.4347,145694.2003,-3.3,71175.67,51726.91,13683.56,5.83,9169.07,1440.74,147201.78,74518.53,74518.53,-894.7402,-178.945,2025HY,2025
9,300158,振东制药,100.576843,-95.5,617.685262,75453.259177,-3.53,38413.347479,25536.891103,6312.696131,31.146142,4843.54925,,75137.6301,1249.554665,,735.801791,-79.789223,2025Q1,2025
10,300158,振东制药,2036.407,-49.25,,,,,,,,,,,,,,,2025Q3,2025
