serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,300181,佐力药业,848351601.94,26.53,31859.1105,37.55,189014.7628,-11333.8598,-13.36,43290.2623,30270.0,115014.0725,28200.0,64309.9249,75.81,2022FY,2022
2,300181,佐力药业,28846.1038,-115.85,28846.1038,-214.57,217512.891,-26357.594,196.06,31271.4576,4913.8636,26969.9429,42901.9452,-15932.0024,118.51,2023FY,2023
3,300181,佐力药业,-11686.29,,12319.19,-105.42,,-9296.72,79.55,,,,,-14708.78,125.86,2023HY,2023
4,300181,佐力药业,-53564430.28,-172.54,1201.3228,-22.43,50280.3835,-6424.8768,119.95,6009.5496,1075.0,7800.0,7800.0,-132.8711,2.48,2023Q1,2023
5,300181,佐力药业,-61875063.56,,22395.1982,-361.94,154252.2974,-11514.8366,186.1,12518.3884,,25969.9429,20483.069,-17067.8902,275.84,2023Q3,2023
6,300181,佐力药业,-152589339.75,-42.64,29704.72,0.01,,-28908.0518,-0.01,,,,,439920600.0,100.0,2024FY,2024
7,300181,佐力药业,21534.73,74.81,21534.73,-842.76,,5422.2,-212.2,,,,,-29512.18,1154.96,2024HY,2024
8,300181,佐力药业,68585374.9,228.04,1706.745,24.88,,7416.0686,108.13,,,,,-2264.2771,-33.01,2024Q1,2024
9,300181,佐力药业,-145295989.7,-134.82,-14529.599,28.79,,-357.5622,0.71,,,,,-35584.6186,70.5,2024Q3,2024
10,300181,佐力药业,-5264.76,-106.04,28958.4,-550.04,149532.5282,-16633.6435,315.94,,,,,-17589.5114,334.1,2025HY,2025
11,300181,佐力药业,-67335263.2,-553.72,-7743.838,115.0,,-12998.0161,193.03,,,,,14008.3303,-208.04,2025Q1,2025
12,300181,佐力药业,-10696.486191,99.99,26600.144172,100.0,,,,,,,,,,2025Q3,2025
