serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,300181,佐力药业,0.45,180515.5366,23.86,23.86,27300.6653,52.17,12.5,3.856,14.32,0.454,26471.3695,52.94,60.5,15.12,14.32,2022FY,2022
2,300181,佐力药业,0.55,194244.04,7.61,22.22,38293.61,40.27,22.22,3.9,22.45,0.41,37361.02,41.14,74.24,19.71,13.69,2023FY,2023
3,300181,佐力药业,0.2818,101145.86,13.02,16.85,19766.16,46.54,7.14,,7.59,0.1756,19373.34,48.41,69.35,19.54,7.0,2023HY,2023
4,300181,佐力药业,0.1389,49569.783,12.81,-72.54,9745.4603,41.76,-64.3,,3.54,0.0171,9575.13,42.01,69.88,19.66,3.47,2023Q1,2023
5,300181,佐力药业,0.1272,45348.8564,0.9,-55.16,8920.36,29.14,-54.87,,3.28,0.3193,8710.2517,29.77,,19.67,3.27,2023Q3,2023
6,300181,佐力药业,0.73,257787.82,32.71,32.71,50777.19,32.6,32.6,4.02,18.55,0.43,50768.42,35.89,60.95,19.71,18.55,2024FY,2024
7,300181,佐力药业,0.4221,142825.47,41.21,112.25,29605.41,49.78,107.88,,10.48,0.307,29210.29,,,20.73,10.9,2024HY,2024
8,300181,佐力药业,0.203,67289.9097,35.75,-65.36,14241.5334,46.14,-62.81,,4.97,0.0243,14363.3497,50.01,66.68,21.16,5.02,2024Q1,2024
9,300181,佐力药业,0.1796,61662.4658,35.97,-56.83,12542.6028,40.61,-57.63,,4.75,-0.2081,12296.4581,41.17,61.61,20.34,4.66,2024Q3,2024
10,300181,佐力药业,0.5325,159945.34,11.99,94.01,37350.02,26.16,106.18,4.34,12.85,0.41,37168.51,27.24,76.04,23.35,12.85,2025HY,2025
11,300181,佐力药业,0.2583,82442.5237,22.52,-68.02,18115.1432,27.2,-64.32,4.53,6.34,-0.11,18120.4268,26.16,55.36,22.23,6.34,2025Q1,2025
12,300181,佐力药业,0.7271,227971.338285,11.48,42.53,50997.44788,21.0,36.54,,16.02,0.3793,50851.773285,22.51,,22.37,15.98,2025Q3,2025
