serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,300519,新光药业,62202.98,2380.54,4614.67,11500.0,194.5,95775.92,2.72,13440.99,,100000.0,,,236.2386,10.46,3148.4157,85889.46,2022FY,2022
2,300519,新光药业,54394.5793,10000.0,10000.0,10000.0,10000.0,93040.58,-2.86,10000.0,,40000.0,0.0,10000.0,10000.0,46.72,40762.342,84412.08,2023FY,2023
3,300519,新光药业,54607.1619,1198.548,5343.1645,14000.0,,89593.353248,-6.46,5715.3729,,7816.4874,,335.4156,,10.06,,81776.86585,2023HY,2023
4,300519,新光药业,50341.6125,1180.0923,6933.7497,18500.0,0.0,90978.133537,-2.22,5600.8538,0.0,0.0,-100.0,7.0141,0.0,0.0,38901.2024,83053.18296,2024FY,2024
5,300519,新光药业,47055.346,1011.7686,6369.4762,19000.0,,88104.3074,-5.31,6273.9856,,7564.6031,-3.22,66.6711,,8.59,36588.9813,80539.7044,2024HY,2024
6,300519,新光药业,59584.381992,775.349642,5033.505898,14000.0,103.36511,94471.759383,1.54,6081.596599,,7817.372646,-9.38,272.48099,,8.27,43045.376116,86654.386737,2024Q1,2024
7,300519,新光药业,42461.212876,1700.913633,6170.055213,24500.0,,89245.170476,,5528.63671,,7453.196243,,36.374868,,8.91,,81791.974233,2024Q3,2024
8,300519,新光药业,30632.159605,1083.140899,6159.609812,37000.0,,87993.972663,-3.28,1083.140899,,1128.62232,-1.91,45.481421,,13.0,7316.5803216,81465.803216,2025HY,2025
9,300519,新光药业,56028.2925,786.0336,4940.2199,17000.0,,92393.4007,1.56,5029.1006,,6892.7168,-11.83,255.4722,,7.46,41355.3805,85500.6839,2025Q1,2025
10,300519,新光药业,29063.115754,,6045.547458,40000.0,,89340.614402,-1.8,,,6545.777272,-18.36,,,7.32,,82794.83713,2025Q3,2025
