serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,300519,新光药业,0.68,35148.88,9.1,9.54,10882.1,-4.78,-4.78,5.37,12.88,0.79,10496.07,-3.69,51.85,30.96,12.88,2022FY,2022
2,300519,新光药业,0.4,27039.98,-23.07,0.0,6435.65,-40.86,0.0,0.0,7.62,0.0,6012.36,-42.72,39.85,23.79,7.62,2023FY,2023
3,300519,新光药业,0.24,14903.85561,-12.57,,3853.9667,-36.62,,,4.46,2919.359304,3573.411778,-38.33,50.84,25.86,4.29,2023HY,2023
4,300519,新光药业,0.31,26765.99,-1.01,282.36,5038.999299,-21.7,310.52,3.144,6.16,0.31,4539.396853,-24.5,33.83,18.83,5.46,2024FY,2024
5,300519,新光药业,0.16,14621.0038,-1.9,-85.46,2550.7669,-33.81,11.73,,3.01,0.1702,2257.4542,-36.83,,17.45,2.8,2024HY,2024
6,300519,新光药业,0.14,100545.2593,,271.84,2283.034136,-25.01,-64.53,,2.67,0.2384,2134.203339,-28.07,93.75,2.27,2.46,2024Q1,2024
7,300519,新光药业,0.08,7000.14222,4.36,-52.12,1227.469046,-39.11,-51.88,,1.5,0.2306,1197.917922,-38.86,,17.53,1.46,2024Q3,2024
8,300519,新光药业,0.2,14094.29292,-3.6,51.15,3190.769641,25.09,30.01,,3.8,0.2308,2943.927134,30.41,36.82,22.63,3.51,2025HY,2025
9,300519,新光药业,0.15,9325.0096,-7.26,-65.16,2454.1781,7.5,-51.3,,2.87,0.2556,2336.65,9.49,,26.32,2.73,2025Q1,2025
10,300519,新光药业,0.08,6467.563869,-7.61,-54.11,1342.848193,9.4,-57.91,,1.62,5058.805601,1404.935055,17.28,,20.76,1.7,2025Q3,2025
