serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,300869,康泰医学,139269.5435,16075.2364,43023.6285,4663.645,132.4446,373280.58,33.84,5430.2076,,1774000000.0,13.6,,,48.34,,192833.38,2022FY,2022
2,300869,康泰医学,47052.5587,3986.3577,46322.7322,65202.3603,,321194.67,-13.95,1778.7231,,116714.9963,12.0,3996.6057,34700.0,36.34,,204479.67,2023FY,2023
3,300869,康泰医学,,,,,,366520.23,-1.81,,,160242.2631,,,,43.72,,206277.96,2023HY,2023
4,300869,康泰医学,112765.8903,16173.693,51444.4464,2412.1348,218.5949,368658.4059,-1.24,7550.5263,,,,4040.6667,69027.5646,75.77,116228.5908,209789.5456,2023Q1,2023
5,300869,康泰医学,36296.4487,5088.1342,51078.7631,65005.8192,,346623.1814,,2270.5048,,,,4432.9846,56287.84,,113712.7164,207471.8142,2023Q3,2023
6,300869,康泰医学,,,,,,272551.718703,-15.14,,,,,,,31.85,,185741.574992,2024FY,2024
7,300869,康泰医学,50876.6739,4283.63,43008.93,1679.27,25632.55,283482.66,-11.74,1903.1518,,90232.1938,-43.69,4361.49,9000.0,31.83,,193250.47,2024HY,2024
8,300869,康泰医学,75265.2856,4073.7468,44935.8545,69056.2916,2698.2011,309826.4542,-3.54,1399.6439,,104924.8899,,4209.7975,23700.0,33.87,109520.1856,204901.5643,2024Q1,2024
9,300869,康泰医学,60239.4001,4218.5452,40417.4991,61091.658,5463.9535,283259.3223,-11.81,1555.5863,,,,3644.0199,9000.0,46.03,98021.2019,193344.7615,2024Q3,2024
10,300869,康泰医学,,,,,,276885.1266,-2.33,,,,,,,35.93,,177402.8298,2025HY,2025
11,300869,康泰医学,74738.247078,4568.304303,26588.264556,67230.718911,7355.667543,278740.516713,-10.03,1445.17763,,,,4255.601433,9143.689637,,90884.229411,187399.011495,2025Q1,2025
12,300869,康泰医学,,,,,,279088.5468,2.4,,,102475.9499,19.35,,,36.72,,176612.5969,2025Q3,2025
