serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,300869,康泰医学,788750705.52,467.61,10365.69,13.44,79693.8561,-11382.4183,-14.76,13613.4028,,174497.7357,96363.9452,78133.7905,101.32,2022FY,2022
2,300869,康泰医学,181014720.43,74.63,18101.47,-19.56,,-72295.8072,78.13,,,,,-38343.9212,41.44,2023FY,2023
3,300869,康泰医学,-19347.89,676.93,15690.55,-78.14,3027.7099,-7179.07,35.75,17000.0,,11977.6821,20000.0,-28591.65,142.39,2023HY,2023
4,300869,康泰医学,-259664194.79,,10151.6356,-37.79,,-15939.3812,59.33,,,,,-21077.6064,78.46,2023Q1,2023
5,300869,康泰医学,-1024358610.91,,17772.2314,-17.23,,-71701.897,69.53,,,,,-49194.3768,47.7,2023Q3,2023
6,300869,康泰医学,6234.257882,-65.56,6234.257882,100.0,,,,,,,,,,2024FY,2024
7,300869,康泰医学,3679.54,-83.46,1386.45,40.9,,40591.56,1197.53,,,,,-38588.41,-1138.44,2024HY,2024
8,300869,康泰医学,,,-54.6439,-0.19,,28011.60612,99.88,,,,,88.208645,0.31,2024Q1,2024
9,300869,康泰医学,51349785.14,-102.435861091,3519.3005,61.93,,40831.5249,718.54,,,,,-38668.2803,-680.47,2024Q3,2024
10,300869,康泰医学,,,2589.5451,100.0,,,,,,,,,,2025HY,2025
11,300869,康泰医学,6307.469929,5580.54,2994.784354,47.23,,-1901.695258,-29.99,,,,,5248.370206,82.76,2025Q1,2025
12,300869,康泰医学,93551193.92,82.18,1960.0894,19.49,,3420.5511,34.02,,,,,4673.7425,46.48,2025Q3,2025
