serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,300869,康泰医学,0.49,71211.45,-21.63,-21.63,19620.26,-44.32,-44.32,,10.54,0.2589,14468.86,-57.8,47.54,27.55,7.77,2022FY,2022
2,300869,康泰医学,0.41,74690.21,4.89,508.48,16576.6,-15.51,1255.28,,8.36,0.4477,14974.7,3.5,64.46,14.87,7.32,2023FY,2023
3,300869,康泰医学,0.46,49447.91,48.88,34.11,18288.64,58.51,7.55,,9.16,0.3947,17280.71,52.52,,36.99,8.38,2023HY,2023
4,300869,康泰医学,0.4232,36869.9883,101.21,-48.22,17005.2052,131.97,-13.33,,8.11,0.2526,16407.4231,126.14,64.12,46.12,7.82,2023Q1,2023
5,300869,康泰医学,0.0304,12274.798,-5.62,-75.18,1223.1121,-79.21,-93.31,,0.59,0.4417,1009.436,-82.75,,9.96,0.49,2023Q3,2023
6,300869,康泰医学,-0.19,47980.517409,-35.76,-35.76,-7790.256468,-147.0,-147.0,,-4.02,0.1521,-9507.925137,-163.49,,-16.24,-4.02,2024FY,2024
7,300869,康泰医学,0.02,21178.98,-57.17,113.55,816.71,-95.53,87.67,,0.4,0.034,-385.35,-102.23,49.67,3.86,-0.19,2024HY,2024
8,300869,康泰医学,0.0108,9917.5164,-73.1,-86.72,435.1935,-97.44,-97.37,5.1,0.21,-0.00136,-331.6458,-102.02,49.55,4.39,0.19,2024Q1,2024
9,300869,康泰医学,0.0043,12209.5484,-0.53,-42.35,173.5807,-85.81,-78.75,,0.09,0.0872,-260.3309,-125.79,49.9,1.42,-0.13,2024Q3,2024
10,300869,康泰医学,0.04,21754.946,2.72,94.51,1693.7573,107.39,3.05,,0.92,0.0612,1245.3493,,,7.79,0.7,2025HY,2025
11,300869,康泰医学,,11184.441172,12.77,-76.69,1643.576778,277.67,121.1,,0.88,0.0409,1376.966412,515.19,58.15,14.7,0.73,2025Q1,2025
12,300869,康泰医学,-0.0188,12644.3233,3.56,-41.88,-753.7731,-534.25,-144.5,,-0.43,1960.0894,-1585.0705,-508.87,,-5.96,-0.9,2025Q3,2025
