serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,300878,维康药业,0.31,53129.1689,-16.06,-16.06,4512.0376,-53.32,-53.73,9.76,3.18,1.03,1920.5655,-77.37,61.78,8.37,1.72,2022FY,2022
2,300878,维康药业,-0.06,51962.1071,-2.41,349.64,-803.8558,-116.47,-269.95,9.77,-0.58,5828.9136,-2521.7538,-229.04,61.19,-1.55,-1.12,2023FY,2023
3,300878,维康药业,0.4463,31643.866465,7.04,61.66,6462.065389,13.4,134.76,10.26,4.52,1.02,5723.337817,30.49,59.64,18.84,2.52,2023HY,2023
4,300878,维康药业,0.1901,19573.8789,6.5,-63.16,2752.6042,20.1,-38.99,,1.93,0.0931,2239.1355,12.22,45.75,14.06,1.57,2023Q1,2023
5,300878,维康药业,0.0327,11556.3051,-35.34,-63.48,472.998,-87.2,-92.68,,,2698.2615,687.6304,-80.92,,4.09,,2023Q3,2023
6,300878,维康药业,-1.03,35119.8568,-32.41,-146.62,-14742.6253,-1546.42,-1616.67,8.15,-11.75,-0.19,-23893.6373,-854.13,54.32,-42.0,-11.11,2024FY,2024
7,300878,维康药业,0.1,29698.842432,-6.15,48.53,1419.209475,-78.04,-41.68,,1.05,-0.1401,842.309529,-85.28,51.55,4.78,0.62,2024HY,2024
8,300878,维康药业,0.17,19995.3045,2.15,-61.52,2433.4978,-11.59,402.73,,1.78,-0.1148,2003.2407,-8.74,50.01,12.17,1.47,2024Q1,2024
9,300878,维康药业,0.21,7380.485695,-36.13,-75.15,2990.345014,532.21,110.7,,2.19,0.21,-5583.504188,-911.99,47.39,40.52,-4.09,2024Q3,2024
10,300878,维康药业,-0.4435,11456.988483,-61.42,64.2,-6421.966911,-552.5,-551.67,,-5.72,0.3067,-6482.632234,-869.63,,-56.05,-5.78,2025HY,2025
11,300878,维康药业,-0.07,6977.5938,-65.1,-80.13,-985.4658,-140.5,93.32,,-0.86,-0.0461,-1054.4818,-152.64,51.4,-14.12,-0.92,2025Q1,2025
12,300878,维康药业,-0.4119,3674.7869,-50.25,-67.93,-5963.4911,-299.41,7.14,,-5.67,0.2969,-5736.2616,-2.75,15.34,-162.28,-5.66,2025Q3,2025
