serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600080,金花股份,43449.46,0.0,0.0,14514.05,0.0,197441.86,5.57,0.0,0.0,20886.46,80.16,0.0,0.0,55.83,51538.14,168376.54,2022FY,2022
2,600080,金花股份,6204.5,507.14,0.0,5682.7175,,2108.55,6.79,928.48,,1179.56,88.56,,,55.67,501.43,928.99,2023FY,2023
3,600080,金花股份,47545.2872,11413.9549,2562.3213,6994.99,,193919.7952,-1.78,1318.0176,,25238.9642,,,,13.02,483978723.08,168680.831,2023HY,2023
4,600080,金花股份,53383.757842,10634.788632,2728.429325,,,202015.42828,2.32,1833.68108,36.74951,33170.796388,16.68,230.58172,9900.0,19.86,48561.673188,168844.631892,2023Q1,2023
5,600080,金花企业（集团）股份有限公司,,,,,,205883.1042,4.28,,,,,,,,,168715.597,2023Q3,2023
6,600080,金花股份,34768.0977,11302.044,3190.1455,2502.1446,37369.0707,197207.12,-6.47,781.8837,,41258.7406,-27.47,,,43.96,51210.5785,156049.46,2024FY,2024
7,600080,金花股份,30790.59,8467.2928,3087.0488,8229.37,18200.16,178790.48,-15.21,742.6874,,28806.53,-15.21,,,161.15,45384.7022,149838.95,2024HY,2024
8,600080,金花股份,36403.211057,9666.071736,3173.797523,8671.926074,13463.667512,181501.320477,-13.92,1131.52863,99.713342,27283.751588,-53.93,99.713342,2123.84974,15.02,46834.655491,154217.568889,2024Q1,2024
9,600080,金花股份,,,,,,185977.9651,-11.8,,,,,,,,,151969.6784,2024Q3,2024
10,600080,金花股份,17823.2949,11541.275,3229.7567,900.156,,192962.0957,-2.15,492.5892,,3950.0,-86.29,,,25.67,50771.9416,155610.8188,2025HY,2025
11,600080,金花股份,16771.1033,11054.9276,3489.9291,9727.0809,41464.0214,199184.5145,9.74,635.7206,,,,66.527,7946.9438,,51332.1091,156170.9864,2025Q1,2025
12,600080,金花股份,23546.7381,11438.9164,2805.6144,11165.7159,,195675.1622,-0.78,796.6039,,37361.1848,-8.87,,,24.21,53600.5648,158313.9773,2025Q3,2025
