serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600080,金花股份,0.0896,57937.45,8.49,,3345.95,243.56,,4.51,2.0,0.14,381.29,-89.37,76.19,6.08,0.23,2022FY,2022
2,600080,金花股份,-0.1149,5654.03,-2.41,-61.65,-4289.06,-228.19,-12436.94,1638.43,-2.58,1.63,300.47,-21.2,76.34,76.85,0.18,2023FY,2023
3,600080,金花股份,0.0082,25536.95,-1.29,135.89,304.26,-85.83,-35.0,,0.18,0.099,1741.2222,-13.34,76.05,1.19,1.03,2023HY,2023
4,600080,金花股份,0.0125,10825.951244,-9.18,-81.31,468.093536,-49.56,-86.01,,0.2776,-3876.009798,235.042763,-80.24,,4.32,0.14,2023Q1,2023
5,600080,金花企业（集团）股份有限公司,0.0009,14743.5488,-10.34,-42.27,34.766,-96.64,-88.57,,0.02,-0.0309,260.3943,-77.65,,0.24,0.15,2023Q3,2023
6,600080,金花股份,0.2088,58546.18,935.48,3.55,7461.13,218.44,218.44,4.18,4.79,0.03,1377.49,358.44,78.4,12.74,0.88,2024FY,2024
7,600080,金花股份,0.0261,24596.55,-2.82,-2.82,946.29,211.01,315.87,10.16,0.6,-0.063,1003.14,-42.39,82.37,3.85,0.64,2024HY,2024
8,600080,金花股份,0.0648,11578.927068,6.96,104.79,2396.242714,411.92,155.87,,1.5068,-0.1331,423.949297,80.37,76.56,20.69,0.27,2024Q1,2024
9,600080,金花股份,0.0579,17296.5737,17.32,-29.68,2130.7271,6028.76,125.17,,1.35,,733.734,181.78,,12.32,0.48,2024Q3,2024
10,600080,金花股份,0.0176,,-1.9,-1.9,137.0984,-34.53,-34.53,,0.4,-1.039,678.9957,-32.31,83.2,2.56,0.44,2025HY,2025
11,600080,金花股份,0.0034,10732.2618,-7.31,-81.67,121.5306,-94.93,-98.37,,0.08,0.0034,1067.4622,151.79,79.48,1.13,0.68,2025Q1,2025
12,600080,金花股份,0.0802,14261.54,-17.55,,2828.6232,32.75,1963.21,4.27,1.8,0.0647,1856.224,152.98,76.55,19.83,1.8,2025Q3,2025
