serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600080,金花股份,3345.95,213.39,,57937.45,8.49,,34655.92,6317.6,-290.81,1549.32,,42232.03,15705.43,15705.43,0.0,0.0,2022FY,2022
2,600080,金花股份,-4289.06,-158.66,,5654.03,-2.76,1337.52,3424.31,724.79,-119.62,150.9,,4288.04,-4289.06,-4289.06,0.0,0.0,2023FY,2023
3,600080,金花股份,304.2638,0.0,,25536.9544,,6114.8498,14704.349,3515.783,,523.333,453.9149,23201.3113,2335.6443,385.9655,,,2023HY,2023
4,600080,金花股份,468.093536,-49.56,7.95,,,,6191.34557,1770.843835,-83.722371,208.917564,,8087.3846,497.697611,490.645995,,49.531122,2023Q1,2023
5,600080,金花企业（集团）股份有限公司,339.0298,-89.35,,,,,,,,,,,,,,,2023Q3,2023
6,600080,金花股份,7461.13,218.44,872.0609,58481.0,3.55,12634.8221,35365.6517,5367.1105,137.4113,2896.2909,539.7415,56941.028,4901.9056,4203.928,-26.0109,-998.4788,2024FY,2024
7,600080,金花股份,946.2894,211.01,,24596.5483,-3.68,5740.48,14080.47,2473.72,-96.29,842.19,,23040.57,18826.3938,,,,2024HY,2024
8,600080,金花股份,2396.242714,411.92,20.795,11578.927068,6.96,2714.308924,6521.833135,1366.810489,-68.630782,232.953304,139.719674,10906.9947,2827.019302,2790.534078,,-759.892679,2024Q1,2024
9,600080,金花股份,3077.0165,807.59,,,,,,,,,,,,,,,2024Q3,2024
10,600080,金花股份,619.5011,-34.53,70.5635,24129.2964,-1.81,5649.6377,13872.0833,2080.2449,-227.2118,1542.8801,650.5547,23568.1889,13872.0833,393.4048,,,2025HY,2025
11,600080,金花股份,,,49.9514,,,2552.5131,5361.1539,901.1435,,1169.1377,105.168,10089.1162,,,,,2025Q1,2025
12,600080,金花股份,3423.7396,10.77,,38390.8364,-8.36,9002.0936,22422.0315,3382.8896,-339.0118,2233.0991,,36701.102,3477.8953,3533.59,,,2025Q3,2025
