serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600085,同仁堂,,,,,,2704449.1889,7.86,,,,,,,,,1180727.5549,2022FY,2022
2,600085,同仁堂,100000.0,100000.0,100000.0,37.0377,100000.0,30089450200.0,11.22,100000.0,100000.0,14945425000.0,11.22,100000.0,100000.0,49.99,837070.2733,13058012100.0,2023FY,2023
3,600085,同仁堂,2257169.9351,137137.9315,672031.2269,39.5126,9295.8602,2905898.669,963.1355,366197.6762,62457.2649,968155.3296,0.0,68463.228,10760.0,42.85,781330.8228,1937743.3394,2023HY,2023
4,600085,同仁堂,1162398.6433,130114.8435,669436.8428,42.8584,13602.3491,2791433.7582,0.0,344728.6031,62457.2649,859042.3576,0.0,62457.2649,30953.2,31.78,726243.3548,1845406.8313,2023Q1,2023
5,600085,同仁堂,1285184.4502,163411.9928,758609.5986,42.8584,,2951223.7253,,410355.4584,63185.9501,959445.3591,,62457.2649,10560.0,32.51,821747.4228,1991778.3662,2023Q3,2023
6,600085,同仁堂,5710.172,390.9206,1072986.0618,44.3825,120362.714,31197524000.0,3.68,34149.4878,0.0,1029652.3088,55229.1262,31399.7817,18772.103,51.7,837070.2733,13196323200.0,2024FY,2024
7,600085,同仁堂,,,,,,3132609.785,7.8,,,,,,,,,1333015.8424,2024HY,2024
8,600085,同仁堂,,,,,,3125302.6763,11.96,,,,,,,,,1358070.4826,2024Q1,2024
9,600085,同仁堂,,,,,,3123881.8228,3.82,,,,,,,,,2050678.7147,2024Q3,2024
10,600085,同仁堂,1125270.0452,146799.3083,1089166.1698,10037.2129,33951.382,3194666.3103,0.0,360946.0307,264.2451,1076742.6611,1.42,45943.6735,11900.0,264.2451,40.1745,2117923.6492,2025HY,2025
11,600085,北京同仁堂,,,,,,3231170.0391,3.57,,,,,,,,,1377419.605,2025Q1,2025
