serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600085,同仁堂,,,309429.6284,100.0,,,,,,,,,,2022FY,2022
2,600085,同仁堂,0.0,0.0,1869491851.11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023FY,2023
3,600085,同仁堂,554644000.0,-123.55,236677.5898,100.0,97606962.4505,0.0,0.0,,,,,0.0,0.0,2023HY,2023
4,600085,同仁堂,946802643.32,,114542.7938,116.23,568588.9506,-678.9167,-0.69,,,,,-15311.7826,-15.54,2023Q1,2023
5,600085,同仁堂,1193716927.56,,239434.1996,210.5,1488062.3715,-8307.1102,-7.3,,,,,-117384.2442,-103.2,2023Q3,2023
6,600085,同仁堂,390552714.68,-54664.4578,760985272.75,100.02,1053055.0298,-2218.4568,-0.0,,,,,-130142.9911,-0.02,2024FY,2024
7,600085,同仁堂,287880786.61,-69.59,-25176.6221,-86.09,,-9752.2323,-33.35,,,,,64172.8536,219.44,2024Q1,2024
8,600085,同仁堂,-1128564055.24,-194.54,-5254.7911,4.68,1401796.8575,-22341.9748,19.9,7804.5919,,,,-84646.5021,75.41,2024Q3,2024
9,600085,同仁堂,325576656.18,,195313.587,564.88,,-28305.7422,-81.87,,,,,-132431.9053,-383.02,2025HY,2025
10,600085,北京同仁堂,586978122.04,103.9,83258.0699,140.59,,-4826.4078,-8.15,,,,,-19211.8642,-32.44,2025Q1,2025
11,600085,同仁堂,1987863432.81,276.14,1406142.8169,89.13,1368626.949,38956.2747,2.47,,,,,132538.3,8.4,2025Q3,2025
