serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600129,太极集团,235684.3746,210752.3303,0.0,25524.475,0.0,102472.5576,0.2233,0.0,0.0,10566.2863,0.2233,0.0,0.0,0.0,30870.6566,292724.4437,2022FY,2022
2,600129,太极集团,193500.8857,31632.2158,269063.2475,16586.55,0.0,1441177.4084,0.0,149134.556,0.0,617448.2952,0.0,51626.7868,0.0,0.0,0.0,362218.5106,2023FY,2023
3,600129,太极集团,127336.6067,275764.3655,238623.8766,23789.972,93261.8805,1462749.7912,,200263.8769,37327.8489,966066.6776,,33059.3786,309120.8,66.06,87241.3969,362166.6053,2023HY,2023
4,600129,太极集团,,,,,,1463900.6511,,,,,,,,,,329052.7504,2023Q1,2023
5,600129,太极集团,81162.3217,208955.1542,272672.0129,14149.1,86765.9574,1405775.9233,1.31,132451.2688,30475.4887,1042431.4127,1.31,27665.4385,440505.166,0.76,0.0,363344.5106,2024FY,2024
6,600129,太极集团,,,,,,1474906.3076,0.83,,,,,,,,,,2024HY,2024
7,600129,太极集团,145769.7505,263719.6341,298849.3343,15605.625,86583.476,1537228.6774,0.0,198775.8556,28571.4499,1067200.5917,,31350.4876,329691.0,74.07,113374.0856,386935.0004,2024Q1,2024
8,600129,太极集团,68987.7894,275664.0229,296933.8906,15219.2,110262.9002,1433426.1373,-0.54,131644.0056,30620.8213,1020771.3648,-4.3,19705.6754,401578.7143,71.2,126490.9718,412654.7725,2024Q3,2024
9,600129,太极集团,67329.6544,284712.2364,224103.35,13049.275,,1422025.3679,1.16,164391.0605,,1044563.334,1.16,,,73.42,84205.5446,363106.257,2025HY,2025
10,600129,太极集团,,,,,,1418788.6342,-7.7,,,,,,,,,356610.3002,2025Q1,2025
11,600129,太极集团,57765.3585,289701.6989,221865.2158,12254.4588,102686.8889,1422225.3669,-0.78,176798.6815,29878.7804,1054744.553,1.17,16470.1664,466812.756,74.15,86916.3437,367480.8138,2025Q3,2025
