serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600129,太极集团,0.63,1405065.9364,15.65,,34970.2842,873000000.0,,,0.0,3.2441,36662.9475,1064000000.0,0.0,2.49,12.52,2022FY,2022
2,600129,太极集团,1.48,1562264.8417,11.19,28.24,82212.4918,131.99,0.0,0.0,23.82,0.0,77444.8433,0.0,62.11,52.63,0.0,2023FY,2023
3,600129,太极集团,1.02,905135.1077,,104.45,57080.6559,,142.93,,16.93,-0.7658,57174.65,214.36,17.02,6.31,15.79,2023HY,2023
4,600129,太极集团,0.42,442724.5377,,-68.49,23496.403,991.16,-32.81,,7.14,-0.2995,23852.0917,227.59,,5.31,7.25,2023Q1,2023
5,600129,太极集团,,1218274.1633,,34.6,75810.034,197.57,32.81,,,,71512.8865,121.76,,6.23,,2023Q3,2023
6,600129,太极集团,0.05,1238601.6983,-20.72,373.35,2665.2728,-96.76,-47.18,,0.75,0.7303,3853.9284,-95.02,26.54,0.21,0.75,2024FY,2024
7,600129,太极集团,0.89,781716.5546,-13.64,85.78,49461.2528,-12.51,98.53,,12.78,,46994.5955,-17.81,,6.33,,2024HY,2024
8,600129,太极集团,0.44,420767.329,-4.96,-73.07,24914.1922,5.05,-69.7,,12.78,6.1995,21832.6297,-8.47,46.47,5.92,5.64,2024Q1,2024
9,600129,太极集团,0.09,261665.2516,-78.52,-66.53,5046.2191,-73.82,-89.8,,1.32,-1.2312,3063.8823,-78.63,,1.93,0.74,2024Q3,2024
10,600129,太极集团,0.25,565756.1853,-27.63,100.05,13879.7316,-71.94,86.2,,3.9,0.2068,11974.7964,-74.52,24.5,2.45,3.9,2025HY,2025
11,600129,太极集团,0.13,282801.6217,-32.79,-77.17,7454.4042,-69.8,179.69,,2.09,-0.2871,8044.1144,-63.16,,2.64,2.26,2025Q1,2025
12,600129,太极集团,0.3,808773.6989,209.09,42.95,16370.4181,-69.56,17.94,0.6429,4.64,0.3049,9083.833,-81.85,25.82,2.02,2.47,2025Q3,2025
