serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600222,太龙药业,505587121.86,-985.1309,-980.1,44.73,,-1211.2036,55.27,,,,,0.0,-0.0,2022FY,2022
2,600222,太龙药业,239403000.0,10.51,4373.7575,-52.9,206990.8737,-12641.68,152.9,12641.68,0.0,0.0,0.0,0.0,-0.0,2023FY,2023
3,600222,太龙药业,-48259650.47,-4825.965,-8800.1824,63.43,99390.974,-248.7061,1.79,7800.0,6600.0,45484.4017,22031.3815,-4825.965,34.78,2023HY,2023
4,600222,太龙药业,-92268340.56,,-9226.8341,100.0,,,,,,,,,,2023Q1,2023
5,600222,太龙药业,-52689723.02,,153695.0226,61.7,151421.9938,43247.2655,17.36,,,,,52150.2226,20.94,2023Q3,2023
6,600222,太龙药业,-3958.57,-190.51,180039.81,100.0,180039.81,-180039.81,-100.0,-180039.81,180039.81,180039.81,-180039.81,180039.81,100.0,2024FY,2024
7,600222,太龙药业,504414.25,0,-372.68,-69.8,0.0,-3339.879,-625.57,0.0,0.0,0.0,0.0,4246.4555,795.37,2024HY,2024
8,600222,太龙药业,,,-11582.3794,100.0,47917.1901,,,,,,,,,2024Q1,2024
9,600222,太龙药业,,-83.56,-96714807.67,-62.62,,95959342.05,62.13,,,,,155195192.11,100.49,2024Q3,2024
10,600222,太龙药业,-111681634.1,不适用,-11168.1634,29.58,,7426.9786,-19.67,,,,,-34009.608,90.09,2025HY,2025
11,600222,太龙药业,223905141.18,,1095.045,4.89,,8944.561,39.95,,,,,12350.9082,55.16,2025Q1,2025
12,600222,太龙药业,174820329.6,7.99,-8898.9041,-50.9,,8904.5122,50.94,,,,,17476.4249,99.97,2025Q3,2025
