serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600222,太龙药业,-0.1283,196069.4309,,,-7214.0215,-1303.26,,,-0.0431,-0.0174,-6664.8366,-284.22,0.2399,-36.78,-4.24,2022FY,2022
2,600222,太龙药业,0.0774,206990.8737,5.57,43.46,4355.6725,160.32,0.0,0.0004,2.85,0.0001,3460.1261,151.87,69.95,2.11,2.26,2023FY,2023
3,600222,太龙药业,,99390.974,,77.38,-3833.1797,0.0,-1140.9,,-2.63,,-4043.2452,0.0,24.52,0.0,-2.77,2023HY,2023
4,600222,太龙药业,0.0065,56031.7916,,-71.42,368.2567,,105.1,,0.23,-0.1629,345.2841,,,0.66,0.22,2023Q1,2023
5,600222,太龙药业,-0.03,144286.9623,,45.17,-1692.6352,70.24,55.84,145096.0475,-1.12,2.7241,-2387.7484,47.85,,-1.17,2.29,2023Q3,2023
6,600222,太龙药业,0.0908,194142.01,-6.21,-19.05,5052.53,16.0,-19.05,2.81,3.2,-0.07,3734.42,7.93,25.51,2.6,16.02,2024FY,2024
7,600222,太龙药业,0.0477,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,2559.5172,-3833.1797,28.33,2.81,0.0,2024HY,2024
8,600222,太龙药业,0.0381,49911.1557,-10.92,-75.89,2052.1428,477.28,-52.89,27.29,1.34,-0.215,1895.9139,449.09,,4.11,1.2,2024Q1,2024
9,600222,太龙药业,0.0519,1340673177.46,-7.08,,28895857.99,270.72,,,1.78,-0.1737,19486835.65,181.61,,2.16,1.2,2024Q3,2024
10,600222,太龙药业,0.035,76243.155,,135.85,1934.66,-27.32,1164.01,2.82,1.22,-0.202,1519.4442,-40.64,24.61,2.54,1.22,2025HY,2025
11,600222,太龙药业,0.0028,32327.4192,-35.23,-83.35,153.057,-92.8,-96.97,,0.1,0.02,45.7857,-97.59,26.81,0.47,0.0975,2025Q1,2025
12,600222,太龙药业,0.0108,42447.0623,-100.0,-44.33,597.8861,162.48,-69.1,,0.37,-0.1607,553.6316,190.64,24.29,1.41,0.35,2025Q3,2025
