serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600252,中恒集团,1175184.886382,1175184.886382,1175184.886382,1175184.886382,1175184.886382,1175184.8864,-1.16,1175184.886382,1175184.886382,523414.299165,-1.59,1175184.886382,1175184.886382,49.46,222495.815217,651770.5852,2022FY,2022
2,600252,中恒集团,296422.028,88114.9011,77612.2197,62587.3271,12316.0846,1166596.009615,0.0,52532.2702,,338914.5979,0.0,,,0.0,2365534057.52,656944.940917,2023FY,2023
3,600252,中恒集团,37324.9487,,13612.6558,42436.6108,,1138499.5595,-3.12,271.5689,,314618.6931,-9.41,,,36.47,-5447.828,823880.8663,2023HY,2023
4,600252,中恒集团,,,,,,1168160.770904,,,,,,,,,,823234.092799,2023Q1,2023
5,600252,中恒集团,378527.8885,67892.3888,75317.9566,,,1167208.7672,,,,336417.1645,,,,40.07,,830791.6027,2023Q3,2023
6,600252,中恒集团,4054748826.46,52366.7841,79509.659,9025.8695,,10979027992.83,-5.89,50368.524,,346428.2598,2.22,,,0.0,,6022749391.71,2024FY,2024
7,600252,中恒集团,319337.3315,77997.704,75867.2704,54928.0779,,1137756.000753,0.0,46862.0218,,334892.2818,6.44,,,29.43,,632499.520373,2024HY,2024
8,600252,中恒集团,,,,,,1169623.608,0.13,,,339985.8616,,,,29.07,,829637.7464,2024Q1,2024
9,600252,中恒集团,,,,,,1141178.1939,-2.18,,,,,,,,,651069.2161,2024Q3,2024
10,600252,中恒集团,413204.4121,86008.9052,70347.0552,8106.6172,,1103291.597,0.49,55029.0837,,370269.4498,1.52,,,33.56,19492436.5784,585275.3941,2025HY,2025
11,600252,中恒集团,406314.9941,74950.1607,72620.8255,,,1097588.3502,-0.03,52036.2223,,350047.724,0.89,,142630.2219,31.89,194043.3142,747540.6261,2025Q1,2025
12,600252,中恒集团,405705.85,80107.26,67971.85,,,1106425.35,0.78,46853.04,,380165.74,,,,52.33,,726259.61,2025Q3,2025
