serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600252,中恒集团,-17009.044675,不适用,-17009.0447,100.03,,2.5332,-0.01,,,,,3.2903,-0.02,2022FY,2022
2,600252,中恒集团,40302.514587,0,40302.5146,-57.59,76939.7986,-81205.103085,116.03,12270.6249,14642.519,2402.1317,14642.519,-29082.405853,41.56,2023FY,2023
3,600252,中恒集团,251339355.56,不适用,-4140.4273,9.23,37972.3644,-34768.9787,77.49,0.0,,1063.9662,726.6415,-5958.5474,13.28,2023HY,2023
4,600252,中恒集团,3023.00196,,7760.812307,100.0,,,,,,,,,,2023Q1,2023
5,600252,中恒集团,222810692.8,,38639.2103,174.24,,5646.4866,25.46,,,,,-22109.5496,-99.7,2023Q3,2023
6,600252,中恒集团,1206954455.47,234.56,477427055.13,39.57,56577201.1,949447040.75,78.7,26000000.0,914470425.69,356000000.0,65000000.0,-220401118.61,-18.27,2024FY,2024
7,600252,中恒集团,243654170.75,-14.61,21462.273064,50.01,3577836.99,15253.9975,35.54,3356040.48,78322630.66,356000000.0,14000000.0,6203.57,14.45,2024HY,2024
8,600252,中恒集团,164173771.54,-53.79,3586.1698,100.0,,,,,,,,,,2024Q1,2024
9,600252,中恒集团,,15.49,44625.8898,100.0,,,,,,,,,,2024Q3,2024
10,600252,中恒集团,-6917.84,-132.23,-6917.8445,-102.2,412483.7888,3606.2158,53.27,0.0,0.0,0.0,0.0,10080.7151,148.92,2025HY,2025
11,600252,中恒集团,,,-7887.6401,100.0,,,,,,,,,,2025Q1,2025
12,600252,中恒集团,616.09,,-15639.67,-2350.8,,-2367.46,-355.85,,,,,18672.42,2806.66,2025Q3,2025
