serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600252,中恒集团,0.0231,271376.9839,-14.17,,7902.546,-74.25,,651770.585217,1.19,-5.0,539.1356,-92.99,65.34,2.91,0.08,2022FY,2022
2,600252,中恒集团,0.0246,309654.205305,0.0,0.0,8430.878904,6.69,0.0,19.01,1.27,0.0,2272.964554,321.59,66.64,0.0,0.34,2023FY,2023
3,600252,中恒集团,0.0257,147936.8952,25.16,120.9,8825.7545,-18.6,615.62,2.77070335869,1.35,-0.0121,6450.6696,-16.66,54.75,1.95,0.98,2023HY,2023
4,600252,中恒集团,-0.005,66968.814545,,-75.32,-1711.684517,,-121.66,,-0.26,0.0227,167.110318,,,-2.56,0.02,2023Q1,2023
5,600252,中恒集团,0.0094,68637.8212,-2.01,-53.6,3220.6994,-13.82,-63.51,,0.39,38639.2103,3045.5526,899.31,,4.69,0.37,2023Q3,2023
6,600252,中恒集团,-0.1119,2270823188.76,-26.67,-26.67,-376979146.18,-547.14,-35268967.93,602274.9392,-5.97,0.14,-330761013.2,-1555.2,48.87,-24.07,-5.24,2024FY,2024
7,600252,中恒集团,0.0064,141096.30667,-4.62,75.08,2190.870657,-75.18,-59.96,,0.33,0.0627,838.171613,-87.01,,1.55,0.13,2024HY,2024
8,600252,中恒集团,0.016,80589.6094,20.34,-73.97,5471.1195,419.63,-35.11,,0.83,0.0105,2608.7497,1461.09,,6.79,0.31,2024Q1,2024
9,600252,中恒集团,-0.0031,51590.1641,-24.84,-63.44,-1068.8662,-133.19,-148.79,,-0.16,0.1294,-1970.8713,-164.71,,-2.07,-0.3,2024Q3,2024
10,600252,中恒集团,0.0082,145104.98,2.84,95.55,2707.76,23.59,48.23,17.85,0.44,-2.13,2483.02,196.24,31.07,1.87,0.4,2025HY,2025
11,600252,中恒集团,0.0055,74203.2481,-7.92,-100.0,1826.7109,-66.61,100.0,,0.24,-0.0237,1577.2127,-39.54,,2.46,0.21,2025Q1,2025
12,600252,中恒集团,-0.0008,497081.27,-3.65,242.57,-243.72,-100.0,-109.0,1.81,0.4,-0.0005,-1883.91,-100.0,34.56,-0.48,0.27,2025Q3,2025
