serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600285,羚锐制药,378073539.0,-1.27,505984943.0,182.06,,-127911404.0,-46.02,,,,,-100150090.0,-36.04,2022FY,2022
2,600285,羚锐制药,813428748.87,-2.57,81342.8749,298.02,,-19388.6478,-71.04,,,,,-34660.2212,-126.99,2023FY,2023
3,600285,羚锐制药,39317.28,29.45,39317.28,321.81,,-27000.0,-220.99,,,,,-99.6464,-0.82,2023HY,2023
4,600285,河南羚锐制药,241987944.29,,8152.1629,33.69,,14237.3586,58.83,,,,,1809.7849,7.48,2023Q1,2023
5,600285,河南羚锐制药,,6.3,50868.9153,100.0,,,,,,,,,,2023Q3,2023
6,600285,羚锐制药,875864233.13,7.68,87586.4233,-334.42,276814.88,-66583.2323,254.23,11647.0765,11647.0765,1584.9336,1584.9336,-47193.7882,180.19,2024FY,2024
7,600285,羚锐制药,29059.92,-26.09,29059.92,-38.07,122226.2095,-60906.39,79.79,110599.6,376.3336,1708.6669,2000.0,-44491.66,58.28,2024HY,2024
8,600285,羚锐制药,-23997997.85,-109.92,4490.6294,-187.12,,-5744.0537,239.35,,,,,-1146.4449,47.77,2024Q1,2024
9,600285,羚锐制药,,-31.19,35004.9452,100.0,,,,,,,,,,2024Q3,2024
10,600285,羚锐制药,35558.75,22.36,35558.7507,-51.09,3386.6177,-92865.8991,133.42,3261.8221,2394.182,67254.9844,105.2511,-12296.8402,17.67,2025HY,2025
11,600285,羚锐制药,-657448187.33,161.91,11761.59,100.0,,,,,,,,,,2025Q1,2025
12,600285,羚锐制药,,,49038.7656,100.0,,,,,,,,,,2025Q3,2025
