serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600285,羚锐制药,0.836,300186.22,,,46533.08,28.71,,255091.896,19.28,0.69,40904.08,15.28,72.44,17.85,18.2,2022FY,2022
2,600285,羚锐制药,1.012,331147.2607,10.31,310.79,56810.9303,22.09,280.77,14.9027600756,21.28,0.81342874887,53422.5527,30.61,73.46,0.0869,21.28,2023FY,2023
3,600285,羚锐制药,0.563,170066.25,13.18,13.18,31698.11,17.18,17.18,4.48,11.69,0.69,30125.18,26.08,77.02,18.64,11.11,2023HY,2023
4,600285,河南羚锐制药,0.26,78864.8249,,-73.73,14424.6385,,-69.0,,5.5,0.1469,13793.5223,,,18.29,5.1,2023Q1,2023
5,600285,河南羚锐制药,0.268,80611.8338,4.1,-52.6,14920.0936,10.66,-52.93,,5.69,0.9137,14061.7235,9.27,,18.51,5.17,2023Q3,2023
6,600285,羚锐制药,1.287,350083.1287,0.0,0.0,72255.072,27.19,349.24,5.41,24.8,0.0,64215.0572,20.2,77.05,20.65,22.04,2024FY,2024
7,600285,羚锐制药,0.732,190600.72,12.07,109.67,41303.28,30.3,116.95,,13.89,0.515,39409.2,30.82,76.24,21.66,13.25,2024HY,2024
8,600285,羚锐制药,0.34,90904.6868,15.27,-72.55,19037.864,31.98,-66.49,,6.59,0.0802,18145.9313,31.55,76.42,20.93,6.17,2024Q1,2024
9,600285,羚锐制药,0.286,85310.9029,5.83,-55.24,16084.0251,7.8,-61.06,,5.54,0.6224,14737.7093,4.81,,18.85,5.08,2024Q3,2024
10,600285,羚锐制药,0.836,,10.14,,2979.3304,-35.24,-86.26,5.4,14.65,0.626,44249.9141,12.28,83.03,22.6,13.67,2025HY,2025
11,600285,羚锐制药,0.383,102075.5871,12.29,-70.84,21681.754,13.89,-69.99,,6.48,0.2078,20392.0717,12.38,,21.24,6.1,2025Q1,2025
12,600285,羚锐制药,0.312,94215.6123,10.44,,17654.6803,9.77,492.57,,5.38,0.8666,16272.5926,10.41,,18.74,4.96,2025Q3,2025
