serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600285,羚锐制药,465330827.0,,,2606400.0,,,144350.0682,16940.8379,,12506.5576,,173797.4637,2432602.5363,,,,2022FY,2022
2,600285,羚锐制药,568109302.85,22.09,1334.8575,331147.2607,-87.29,78630.1285,103511.1176,9197.5268,-3574.4349,10606.0114,3464.2095,201834.5589,648514448.62,,,,2023FY,2023
3,600285,羚锐制药,31698.11,17.15,1026.1355,170066.249556,13.18,41975.51,79146.15,8428.37,,4328.49,2364.6629,136243.1829,128090.74,128090.74,,,2023HY,2023
4,600285,河南羚锐制药,14418.0298,,,78864.8249,,,37634.9019,3504.4899,,2120.5203,,43259.9121,35604.9128,,,,2023Q1,2023
5,600285,河南羚锐制药,46618.5949,15.01,,250678.0833,,,,,,,,,,,,,2023Q3,2023
6,600285,羚锐制药,72258.4692,27.54,,350083.1287,5.72,275537.65,159693.0049,16665.6503,275537.65,13152.532,275537.65,275537.65,82757.3,82757.3,,,2024FY,2024
7,600285,羚锐制药,41303.28,30.3,,190600.7173,12.07,,854905590.92,83629248.98,,47189927.33,,985724767.23,-985534166.5127,,,,2024HY,2024
8,600285,羚锐制药,,,,,,,41410.8505,3489.5968,-802.089,2039.3113,1328.8608,47466.5304,,,,,2024Q1,2024
9,600285,羚锐制药,57390.788,23.1,,275911.6202,10.07,,,,,,,,,,,,2024Q3,2024
10,600285,羚锐制药,47438.5807,14.85,,209920.5516,10.14,,99449.7354,10657.7839,,6306.0863,2811.3444,119224.95,90695.6016,55154.7543,,,2025HY,2025
11,600285,羚锐制药,21673.3789,13.89,,,,,,,,,,,,,,,2025Q1,2025
12,600285,羚锐制药,,,,,,,,,,,,,,20601.125,,,2025Q3,2025
