serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600329,达仁堂,207592.4858,50018.6019,78598.3517,,33385.09,1015698203.94,12.02,21358.0655,,360502.8901,,21907.4639,10163.8515,35.76,426371.3392,652146053.5,2022FY,2022
2,600329,达仁堂,212520.0013,217269.9877,156651.7536,,,1023010.0941,0.72,61538.2936,,358486.4434,-0.56,,,35.65,,660069.0543,2023FY,2023
3,600329,达仁堂,210395.8426,251504.2678,167779.8658,,,1036400.5537,2.04,68641.0804,,397435.6989,,,,44.55,,633231.4529,2023HY,2023
4,600329,达仁堂,,,,,,1086652.786,,,,,,,,,,693270.704,2023Q1,2023
5,600329,津药达仁堂集团,,,,,,1028170.120362,,,,376445.144228,,,,36.61,,651724.976134,2023Q3,2023
6,600329,达仁堂,1431384.22,58986.0989,115418.7204,,,1076862.5044,5.26,561351.68,,427487.37,19.25,,,39.7,5500351138.82,7843592378.84,2024FY,2024
7,600329,达仁堂,345412.56,259799.8137,155497.1577,345619355.29,42366521.28,1190110.53,16.33,70221.8414,,802200.0,880.68,14.8052,,67.4,2670744.65,627282.14,2024HY,2024
8,600329,津药达仁堂集团,,,,,,1105062.260995,8.02,,,,,,,,,702772.742445,2024Q1,2024
9,600329,达仁堂,145463.597157,237232.109418,163071.428758,,,1096952.994924,6.69,61389.485196,,451563.586506,19.95,6350.84535,102329.5255,41.17,,645389.408418,2024Q3,2024
10,600329,达仁堂,8095.1029,122572.7325,145964.4135,,,1285346.1646,19.36,21972.8493,,291310.4723,69.63,,696.5174,22.66,,878493.1304,2025HY,2025
11,600329,达仁堂,145456.8332,108557.4744,120490.8807,,,1116786.798,3.71,26426.9581,11.1904,294626.0395,,9475.512,7243.1608,35.36,600927.4462,822160.7585,2025Q1,2025
12,600329,达仁堂,,,,,,1158515.680798,7.58,,,256105.955026,-25.47,,,22.12,680148.81109,902409.725772,2025Q3,2025
