serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600329,达仁堂,1.12,824924956.52,19.42,19.42,861793906.84,12.05,12.05,652146053.5,13.15,0.86,769227070.99,3.94,39.84,10.45,11.74,2022FY,2022
2,600329,达仁堂,1.28,822231.1849,-0.33,41.93,98670.7378,14.49,14.98,8.48,15.06,0.89,95229.4816,23.8,0.0,12.0,15.06,2023FY,2023
3,600329,达仁堂,0.94,,,,72249.1489,54.12,80.27,,10.54,0.1593,71221.02,53.41,,,10.39,2023HY,2023
4,600329,达仁堂,0.52,215440.5777,,-99.97,40078.8397,,-100.0,,5.97,0.2426,39493.2357,99.22,,18.6,5.7,2023Q1,2023
5,600329,津药达仁堂集团,1.11,579303.978416,,,85819.197318,17.73,18.78,,13.17,8118.492706,84194.275809,29.8,,14.81,12.92,2023Q3,2023
6,600329,达仁堂,2.9,730673.6059,-11.14,343.86,222933.4236,125.94,1425.51,30.8,30.51,14.31,74637.498,-21.62,30.51,30.51,10.51,2024FY,2024
7,600329,达仁堂,0.85,,,,6030602.0,-8.97,15469.83,8.19,9.49,4.47,63383.12,-11.01,42.94,7.22,9.15,2024HY,2024
8,600329,津药达仁堂集团,0.5,208558.839055,-3.19,-74.64,38732.616582,-3.36,-60.75,,5.51,-8929.940245,37582.500351,-4.84,,18.57,5.35,2024Q1,2024
9,600329,达仁堂,0.19,164619.177112,-71.58,,14613.656108,-82.97,-99.76,,2.26,0.0161,13292.849657,,48.97,8.88,2.06,2024Q3,2024
10,600329,达仁堂,2.5,,,-33.15,81434.0,-98.65,193.08,11.15,22.3,0.62,59624.4037,-5.93,97.33,72.72,22.3,2025HY,2025
11,600329,达仁堂,0.49,145529.9952,-30.22,-80.08,37424.776,-3.38,-83.21,,4.55,0.4655,37567.1616,-0.04,,25.72,4.57,2025Q1,2025
12,600329,达仁堂,0.3,101934.225545,-38.08,,22455.922011,53.66,-72.42,,3.08,0.7887,22188.562006,66.92,74.98,22.03,2.46,2025Q3,2025
