serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600329,达仁堂,861793906.84,12.05,,824924956.52,19.42,495559187.3,196926542.79,377887914.12,-39773179.82,153146508.36,106930706.46,697366244.34,329563711.28,861793906.84,0.0,0.0,2022FY,2022
2,600329,达仁堂,98670.7378,-99.99,88.1249,387387.2,20.17,,212643.48,39973.14,,14062.386,,266679.006,149499.1341,,2812.9617,1908.949,2023FY,2023
3,600329,达仁堂,72249.15,54.12,8127873.47,408830.8842,,,106567.53,15698.33,-1681.64,5202.89,,125787.11,8410917.2442,,,,2023HY,2023
4,600329,达仁堂,39778.2702,100.79,,,14.03,,,,,,,,,,,,2023Q1,2023
5,600329,津药达仁堂集团,84202.424332,,,,,,,,,,,,,,,,2023Q3,2023
6,600329,达仁堂,222933.4236,125.94,,7306736058.69,-11.14,3786015011.44,1999975497.38,458549953.3,14963670.21,162378232.62,363564397.26,6245185852.83,3786015011.44,2229334236.14,,,2024FY,2024
7,600329,达仁堂,65771.93,-8.84,,396474.08,8.61,198514.97,103082.77,23644.1,-141.3989,4665.25,,329765.6911,66708.3889,,,,2024HY,2024
8,600329,津药达仁堂集团,38338.17487,-3.36,,,,,,,,,,,,,,,2024Q1,2024
9,600329,达仁堂,79313.420547,-5.81,,561093.255642,,286342.587753,147505.243395,34464.637699,,9879.743521,5870.551092,484062.7635,91943.293061,92341.118508,,,2024Q3,2024
10,600329,达仁堂,192762.2964,193.08,1283.3266,265051.9062,-33.15,67130.9109,102054.4316,18573.7564,44.8612,6155.2325,,193959.1926,226702.2654,226702.2654,-850.7175,-1000.2169,2025HY,2025
11,600329,达仁堂,37178.5463,-3.02,314.6242,,,,54394.2653,,-46.117,,2229.8134,56577.9617,43883.7885,43668.8956,-880.4176,-550.3483,2025Q1,2025
12,600329,达仁堂,214621.626292,167.73,,366986.1317,-34.59,91808.987504,141715.295584,30378.656005,,10462.172878,5919.039735,2773374.67667,2522594.95681,,,,2025Q3,2025
