serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600332,白云山,2080469.9,1485759.1768,1067157.2519,5687.268,4129.0,7466529.9,12.93,1120034.7828,,4102744.1,17.93,35738.6911,27641.186,54.95,1826213.4,3206512.5,2022FY,2022
2,600332,白云山,19823544.0,1511249.4799,1150709.9742,,,78586878.0,0.5,1184183.1852,,41909054.0,4.83,42780962.89,7799036.0,53.33,838926.5345,34919281.0,2023FY,2023
3,600332,白云山,2088597.065,22543.769,47112.4803,5687.268,,7360723.9,-1.42,52720.2271,,3823218.3,-11.62,19189.0702,25000.0,51.94,2998590.3,3368590.3,2023HY,2023
4,600332,广州白云山,20245924.0,15951358.0,8945104.0,,,73658300.0,-1.35,11090426.0,,38057349.0,-7.96,1784586.0,8621019.0,65.55,,33967845.0,2023Q1,2023
5,600332,广州白云山,19873967.0,16521846.0,9657387.0,,,74353331.0,-0.42,12620558.0,,37977385.0,-8.09,,,51.02,20863305.0,36375946.0,2023Q3,2023
6,600332,白云山,1630293900.0,1572598.2661,1281190.2454,,,81683612.0,3.94,1173466.6537,,43913976.0,4.78,152261700.0,912298200.0,53.76,2181533.7,35904528.0,2024FY,2024
7,600332,白云山,322796.0696,23247.7071,43952.3684,0.0,104654.9892,77970661.0,1.01,0.0,,0.0,-1.24,11161.72,9242344.0,51.12,791914.0873,36263388.0,2024HY,2024
8,600332,广州白云山,19754460.87,16715572.93,9848755.92,,,78703490.27,0.15,11287880.29,,39990236.19,-5.03,,,51.0,22917448.93,38713254.07,2024Q1,2024
9,600332,白云山,17187621.12803,16682453.60294,11343343.00198,,,79255540.4997,0.85,12694131.10918,,41202453.23503,8.49,,,52.0,,38053087.26467,2024Q3,2024
10,600332,白云山,1182722.341,1846752.6775,1131698.4797,,,82419655.052,0.9,1324383.6823,,4260842.0884,,3714.7583,,51.7,756855.9146,37760172.34,2025HY,2025
11,600332,白云山,1451083.1736,1764830.306,1082292.0802,,,8004779.945,-2.0,1201110.9445,,4040887.9746,-8.57,,,50.48,2363664.9789,3963891.9704,2025Q1,2025
12,600332,白云山,1370845.6363,1913481.7688,1108068.5715,,,8316926.0288,1.82,,,4318523.2665,-1.82,,,57.71,,3790630.7061,2025Q3,2025
