serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600332,白云山,2.44,7078815.5,30.0,-17.63,3966522.21854,6.63,12.97,0.002,12.97,30.0,3319308.0,0.39,18.56,5.61,10.85,2022FY,2022
2,600332,白云山,2.495,75515404.0,6.68,6.68,4055679.0,2.25,2.25,21.48,12.07,5.88,3635521.0,9.53,18.61,5.37,10.82,2023FY,2023
3,600332,白云山,1.729,3997033.1,7.39,-81.52,281124.8,8.54,-85.27,20.72,8.4,-0.46,259850.9,12.96,20.61,7.03,7.76,2023HY,2023
4,600332,广州白云山,1.174,21628521.0,5.31,205.54,1908600.0,5.7,-51.88,,5.78,-1.7462,1827436.0,3.57,,8.82,5.38,2023Q1,2023
5,600332,广州白云山,2.332,58184550.0,6.16,1355.69,3791250.0,9.12,1248.6,,11.3,0.576,3438654.0,9.72,23.45,67.34,11.15,2023Q3,2023
6,600332,白云山,1.744,74992820.0,-0.69,-0.69,2835496.0,-30.09,-0.69,0.0022,7.99,344242700.0,2356431.0,-35.18,16.57,3.78,6.64,2024FY,2024
7,600332,白云山,1.568,41042815.0,926.83,2.68,2549565.0,-9.31,-9.31,22.31,7.04,-1.25,2340833.0,-9.92,18.89,6.21,6.47,2024HY,2024
8,600332,广州白云山,1.204,22946211.89,6.09,-69.61,203172492.79,2.59,4909.58,,5.45,-1.92,1833541.0,0.33,,885.43,4.74,2024Q1,2024
9,600332,白云山,1.943,59060003.02,1.5,43.9,3289440657.47,-16.68,128919.68,22.25,8.81,-0.4438,3158976998.91,-16.95,23.54,5.57,8301.5,2024Q3,2024
10,600332,白云山,1.548,41834546.114,1.93,1761.51,2516140.987,-1.31,1281.5,23.23,6.77,-2.09,2205589.254,-5.78,18.19,6.02,5.93,2025HY,2025
11,600332,白云山,,2247340.8393,-2.06,-97.0,182131.3254,-6.99,-93.58,,4.95,1.12,167456.3362,-8.67,26.45,8.27,4.22,2025Q1,2025
12,600332,白云山,2.036,6160599.3796,4.31,-85.27,331005.2078,4.78,-86.84,,8.88,-1.213,286941.5539,0.48,,5.37,7.57,2025Q3,2025
