serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600332,白云山,396.6522,6.63,480423.0,70788155.0,2.57,57510952.0,5875439.0,2218270.0,-162456.0,819454.0,18120.0,6538534.1,5043244.0,5043244.0,-7984.0,-45146.0,2022FY,2022
2,600332,白云山,4055679.0,11.3,3084.759,6104738.0,-91.38,130100.4913,610473.7743,242153.9832,-13591.1639,78214.4235,3844.9939,1051196.5023,184329.5664,185094.3027,231.4535,-149.3501,2023FY,2023
3,600332,白云山,281124.8,8.54,8132.4,3997033.0588,7.39,76745.6467,326311.0,119946.8,-3968.2,40057.4,,559092.6467,353269.2,353269.2,402.1,-10048.9,2023HY,2023
4,600332,广州白云山,1969054.0,5.7,,,5.31,16593366.0,1865673.0,629334.0,-35251.0,179389.0,100261.0,19332774.0,2352759.0,,,,2023Q1,2023
5,600332,广州白云山,3928725.0,,,,,46514115.0,4707473.0,1772404.0,-4384408.0,579480.0,,49189064.0,4756262.0,4752433.0,3703867.0,-1386505.0,2023Q3,2023
6,600332,白云山,2835496.0,-30.09,22180.1,74992820.0,-0.69,62472769.0,5619619.0,2407634.0,38229.0,763770.0,38229.0,6247276.9,3607580.0,3607580.0,-40728.3,-3521.0,2024FY,2024
7,600332,白云山,2549565.0,-5.02,18441.2397,4104281.5088,2.84,33244056.0,311941.5171,121287.3492,-5966.8917,39114.5311,0.0,36583541.0,3229403.0,3229403.0,-131.6286,-8212.8563,2024HY,2024
8,600332,广州白云山,203172492.79,10218.28,,,6.09,17867262.73,1888238.01,644079.59,-1990.97,186139.0,,20583728.36,2452250.84,2452341.87,,,2024Q1,2024
9,600332,白云山,3289440657.47,83627.94,,,1.5,48603741.32607,4230704.84048,1758912.10937,2042706.64,578513.07886,235356.07529,55409270.13671,4001068.35599,4006037.80235,-4789030.18,-87861728.3,2024Q3,2024
10,600332,白云山,2516140.987,-1.31,125656795.41,41834546.114,919.29,61699.59471,302847.7835,120213.2383,12313.7569,28528.5159,181558008.6,182083611.4893,-14592269.9653,,,,2025HY,2025
11,600332,白云山,185744.9311,-99.91,8231.4428,,,,158663.2917,60595.0636,5195.0082,14371.3072,,238824.6707,222736.7213,223098.6825,-214.3906,-9225.1508,2025Q1,2025
12,600332,白云山,339811.9773,4.78,,6160599.3796,4.31,,431586.981,179146.4326,20193.6369,44372.1664,,675299.2169,5485300.1627,,,,2025Q3,2025
