serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600422,昆药集团,0.51,828206.3456,0.35,0.35,38318.359,-24.52,-24.52,6.61,7.89,0.34,25110.9809,-10.17,55.23,4.63,5.17,2022FY,2022
2,600422,昆药集团,0.59,770312.13,-6.99,318.6,44467.996122,16.05,173.42,7.02,8.64,0.47,33511.173842,33.45,0.0,0.0,6.57,2023FY,2023
3,600422,昆药集团,0.29,377063.83,-10.81,97.41,22336.99,3.12,70.48,6.71,4.38,-0.38,17730.56,22.78,47.68,5.92,3.5,2023HY,2023
4,600422,昆药集团,,191004.99,-19.19,-76.94,13102.73,14.47,-65.81,,2.56,0.17,10345.298336,-2.67,40.5,6.86,2.6,2023Q1,2023
5,600422,昆药集团,0.21,184022.5456,,-51.2,16263.7753,4.2,-27.19,,3.1,,13320.7692,15.61,0.0,8.84,2.54,2023Q3,2023
6,600422,昆药集团,0.86,8401447.23337,-0.34,4314.77,64808.134192,19.86,310.41,7.06,9.52,1.08,41920.614336,25.09,44.74,7.71,9.52,2024FY,2024
7,600422,昆药集团,0.3,355442.162896,-5.73,91.86,22948.334845,2.74,93.34,,4.24,0.1767,16001.381394,-9.75,,6.46,2.98,2024HY,2024
8,600422,昆药集团,0.16,185263.798331,-3.01,-75.95,11869.345455,-9.41,-73.31,,2.22,-0.1375,11288.125041,,,6.41,2.02,2024Q1,2024
9,600422,昆药集团,0.2086,190303.3254,3.41,-46.46,15791.2524,-2.91,-31.19,,2.9,0.2858,12934.8428,-2.9,,8.3,2.26,2024Q3,2024
10,600422,昆药集团,0.26,335134.727945,-5.71,108.36,19835.521985,-26.88,119.22,,3.7,0.2868,15110.1473,-5.57,37.0,5.92,2.83,2025HY,2025
11,600422,昆药集团,-29.41,160845.203242,-16.53,-98.09,9048.232186,-31.06,-86.04,,1.71,0.12,7206.142619,-36.16,,5.63,1.35,2025Q1,2025
12,600422,昆药集团,0.09,139985.8798,-30.19,-58.23,7101.2575,-59.03,-64.2,,1.35,0.23,-3397.1327,-126.26,38.98,15.05,1.35,2025Q3,2025
