serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600436,漳州片仔癀,249642.6,74437.85,262781.563,879.5156,,1460384.45,16.63,,,329144.21,,,,22.54,,1132996.73,2022FY,2022
2,600436,漳州片仔癀,115874.62,91174.91,337866.09,,,1708041.34,16.96,50585.75,,158347.46,-51.89,27695.9761,98993.2209,7.28,999577.17,1337632.54,2023FY,2023
3,600436,漳州片仔癀,281585.6385,69955.2845,255627.2752,,,1590714.88,8.92,35013.3162,,323911.2379,,12456.0236,89271.9047,44.25,899209.1383,1212960.12,2023HY,2023
4,600436,片仔癀,,,,,,1506805.813698,,,,,,,,,,12631515.14196,2023Q1,2023
5,600436,漳州片仔癀,263328.0042,,278214.7495,,,1609550.2214,10.21,,,253626.5936,,,,15.78,985590.2744,1355923.6278,2023Q3,2023
6,600436,漳州片仔癀,1487988163.71,779663387.67,4967131939.5,0.0,314854932.21,17539661657.5,2.7,435521735.25,,2700924667.75,2.7,270811373.18,892790762.28,15.4,10606466292.12,14838736989.75,2024FY,2024
7,600436,片仔癀,89212.27,80956.5556,45394.97,,,1704704.3335,-0.2,3103.41,956.32,280220.1559,-13.49,8679.07,7858.38,25.79,1030260.0,1366955.6669,2024HY,2024
8,600436,漳州片仔癀,237464.387018,88908.443794,387980.421275,,,1829435.674503,7.11,,,338831.263324,9.84,,,23.99,,1433310.603527,2024Q1,2024
9,600436,漳州片仔癀,,,,,,17987490323.17,5.31,,,,,,,,,14601501038.78,2024Q3,2024
10,600436,片仔癀,177019.7115,97729.8156,572391.1278,,34794.7823,1870879.2009,6.67,48460.8832,,351194.0391,25.33,645.2206,,18.77,1095073.828,1462455.7776,2025HY,2025
11,600436,漳州片仔癀,139417.110608,85286.428414,494563.881344,,,184845.8693784,5.39,53848.982299,,264215.865225,-2.51,,,14.3,1160624.998755,152629.2478668,2025Q1,2025
12,600436,片仔癀,,,,,,17478745955.95,-0.35,,,,,,,,,14472249712.84,2025Q3,2025
