serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600436,漳州片仔癀,247234.47,1.66,,869400.1504,,,48335.85,33104.85,-6237.44,23003.45,7196.21,105402.92,297800.0,396096.742,,,2022FY,2022
2,600436,漳州片仔癀,279735.15,13.15,,10058497300.0,15.69,,78277.73,36704.96,,23235.43,,138218.12,1606019731.53,9995771697.76,,,2023FY,2023
3,600436,漳州片仔癀,158698.4667,17.25,2904217.87,504527.571,19.99,56573.0652,24435.2,16512.04,-1383.62,11618.0,4616.38,267046.21,237481.36,154083.71,-1344.18,1029.72,2023HY,2023
4,600436,片仔癀,796662.93376,,,,,,,,,,,,,,,,2023Q1,2023
5,600436,漳州片仔癀,246409.629,,527.0133,,,391742.8719,37814.1474,26045.6925,-1323.6234,18019.9927,6933.7144,479232.7955,289908.2015,289750.5647,-451.415,1144.8438,2023Q3,2023
6,600436,漳州片仔癀,12420820000.0,12.62,0.0,107878631000.0,12.62,95413771000.0,517554400.0,165350000.0,93048518.41,248000000.0,93048518.41,96530772436.82,13164350000.0,13164350000.0,0.0,0.0,2024FY,2024
7,600436,片仔癀,172153.9641,60.75,1482.6451,565058.7552,12.0,312267.59,24932.44,14081.47,,11610.61,3392.61,373383.11,251675.65,206200.0,-681.34,-117.69,2024HY,2024
8,600436,漳州片仔癀,99877.925449,-87.46,,317069.152878,,167235.773679,16475.605811,7668.899523,324.457337,8880.941952,,200585.6783,117110.963225,117063.981225,,,2024Q1,2024
9,600436,漳州片仔癀,2717761870.21,1102844.67,,8450322100.75,,4610195351.01,332200579.41,227172648.69,,144895396.83,,5314463975.94,3135858124.81,,,,2024Q3,2024
10,600436,片仔癀,144230.931,-16.22,,537853.7134,-4.81,115419.3319,,,,,,115419.3319,422434.3815,170575.9306,,,2025HY,2025
11,600436,漳州片仔癀,101349.559596,1.47,,314152.911084,-0.92,172611.732678,10132.98898,6278.133104,557.934238,7082.091631,2282.418644,198945.299275,118599.456213,118264.925865,-72.225677,-717.98956,2025Q1,2025
12,600436,片仔癀,,,,,,,,,,180276381.41,,180276381.41,,,,,2025Q3,2025
