serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600479,千金药业,123994.92,27324.6813,60203.1358,49174.3744,,462197.57,13.84,27068.4423,,180569.0959,,,,39.07,97082.4433,221621.49,2022FY,2022
2,600479,千金药业,199790.0028,25040.0423,53413.6583,49174.3744,21871300.0,467688.2467,0.91,29434.2151,123610548.82,228900.0,-41.67,123610548.82,56686470.44,48.98,114245.7419,238967.2142,2023FY,2023
3,600479,千金药业,135438.4794,40538.531,58083.9704,15152.9014,,435935.319178,-5.68,35562.2459,8268.7165,157454.9997,125662.9326,,4549.0797,38.75,93743.6033,219406.769579,2023HY,2023
4,600479,千金药业,,,,,,453228.749946,,,,,,,,,,287682.780762,2023Q1,2023
5,600479,株洲千金药业,,,,,,449033.9385,-2.85,,,,,,,,,227792.2463,2023Q3,2023
6,600479,千金药业,134447.817,25482.4418,48594.3577,,,455629.8078,-2.58,,,141715.152,-10.01,,,32.71,59362.1951,246227.928,2024FY,2024
7,600479,千金药业,171127.803008,39871.842123,54784.398738,,,449441.4175,-3.9,5990.51,,149534.967287,-5.03,,,33.27,53092.1529,236243.674,2024HY,2024
8,600479,千金药业,,,,,,473717.741573,4.52,,,,,,,,,307513.78551,2024Q1,2024
9,600479,千金药业,,,,,,445391.2464,-4.77,,,139062.6033,-10.06,,,45.35,,306328.6431,2024Q3,2024
10,600479,千金药业,85700.256236,34161.501692,10945.262234,177.484714,726.903263,476220.275399,4.52,60595.841237,3622.845643,226794.256474,47.56,3622.845643,12200.0,47.56,119718.846091,244189.046091,2025HY,2025
11,600479,千金药业,92921.7714,38595.867,47418.0679,,,466128.893,2.3,28711.4631,,,,7902.4262,623.3492,,128262.5164,251744.0737,2025Q1,2025
12,600479,千金药业,56499.7341,37266.5464,41943.8975,208.4625,,490091.944,7.56,29386.4421,,165651.8443,18.86,7945.0294,1018.8147,33.8,127327.0659,324440.0996,2025Q3,2025
