serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600479,千金药业,73347.29,51.05,73347.29,124.02,0.0,12214.84,20.65,0.0,0.0,0.0,0.0,-26418.7,-44.67,2022FY,2022
2,600479,千金药业,443115163.6,-39.59,44311.5164,53.62,44311.5164,58528.5163,70.82,,,,,-20200.3303,-24.44,2023FY,2023
3,600479,千金药业,-96098391.26,-137.39,-9609.839126,-58.83,185003.248006,40127.0374,245.65,352000.0,78843.408006,3214.568375,4852.224236,-14182.3101,-86.82,2023HY,2023
4,600479,千金药业,,,-19403.947506,-121.54,84552.599814,35358.190439,221.48,,,,,10.32586,0.06,2023Q1,2023
5,600479,株洲千金药业,,,7403.4264,15.69,,59157.1484,125.41,,,,,-19388.0822,-41.1,2023Q3,2023
6,600479,千金药业,398766454.6,-10.01,39876.6455,174.47,362980.4492,-17020.9301,-74.47,9275.4367,12655.2607,34966.8782,0.0,0.0,0.0,2024FY,2024
7,600479,千金药业,-283387970.98,19.4,-7745.4934,27.33,,-1527.3493,5.39,,,,,-19065.9544,67.28,2024HY,2024
8,600479,千金药业,,,-17020.93011,85.93,,-1038.315284,5.24,,,,,-1749.696189,8.83,2024Q1,2024
9,600479,千金药业,,-33.68,4909.7673,-23.94,,-2775.4547,13.54,,,,,-22639.5815,110.41,2024Q3,2024
10,600479,千金药业,-4446.70695,42.59,-4446.70695,9.14,8485.5239,-42323.540649,86.99,39000.0,,559.4632,1655.592,-1885.370878,3.87,2025HY,2025
11,600479,千金药业,-414478169.39,,-12436.8913,30.01,,-29186.9256,70.42,,,,,176.0,-0.42,2025Q1,2025
12,600479,千金药业,-785733977.48,394.87,24296.8376,-30.92,275366.9163,-85872.7614,109.29,5984.7064,240.0,0.0,300.0,-16997.474,21.63,2025Q3,2025
