serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600518,ST康美,150739.7211,196495.532,275069.2813,,,151117591.3819,-5.88,253304.9999,5628.3941,81292102.769,33.66,15812.4122,2561.8964,53.8,-2600473.2014,69825488.6129,2022FY,2022
2,600518,ST康美,105660.6688,202913.8566,264374.9272,8.2803,23736.0816,1428037.8965,-586.0,220506.1426,,719992.7545,-99.11,,2613.6585,50.45,-2590093.4638,704755.8996,2023FY,2023
3,600518,ST康美,127820.2056,179043.5649,271195.971,9.9864,0.0,1458734.96888,-3.47,207838.8828,6584.5619,772925.9922,0.0,19886.2269,1171.6223,0.0,,682546.202968,2023HY,2023
4,600518,ST康美,99550.9828,159241.6511,55134.6024,,,14800805.85896,,96953.8091,,522596.329,,,,3.53,,6930332.18853,2023Q1,2023
5,600518,ST康美,1186016568.47,1840911967.54,2813773964.02,,,14564850835.72,,2169043685.57,,7730794358.28,,,,53.08,-26151417079.93,6834056477.44,2023Q3,2023
6,600518,康美药业,977841602.98,2331965425.9,2176847079.88,,17532.4325,1379769.031526,-3.38,247163.505,,658893.9896,-15.17,,,53.56,-2115189.876141,717420.445889,2024FY,2024
7,600518,康美药业,79496.8789,217446.2059,288665.2287,7.276,8906.9765,1425700.443266,-0.16,243338.4023,,715736.3361,51.21,,,50.24,706388.878,706388.878034,2024HY,2024
8,600518,ST康美,,,,,,1420520.683953,-90.4,,,,,,,,,705493.791501,2024Q1,2024
9,600518,康美药业,773508915.68,2255355345.47,2885879627.37,,,14193606641.81,-2.55,2505319037.73,,7117806306.35,-7.93,,,50.15,-25895919100.61,7041867572.61,2024Q3,2024
10,600518,康美药业,3222.09,9654.47,1693.36,,,1364473.89,-1.11,510.59,,719056.53,52.33,,,52.33,719056.53,719056.53,2025HY,2025
11,600518,康美药业,89414.2349,241542.2772,251235.5484,,,1371383.9679,-0.61,242986.7573,,649611.1084,,2754.5418,,47.37,-2588385.5193,718271.9746,2025Q1,2025
12,600518,康美药业,1180626875.64,2473605705.57,2452703655.87,,,13682934507.97,-0.83,2533840767.0,,6458251341.59,-1.62,,,89.36,,7186774270.0,2025Q3,2025
