serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600535,天士力,310984.7477,89149.8738,151587.1502,112496.2579,10296.3373,1643026.5606,-1.16,57536.1037,,376049.6437,,,18447.7595,48.66,643169.9194,1240491.6145,2022FY,2022
2,600535,天士力,445060.0676,68800.3224,174768.5395,30070.8219,,1671428.5094,1.44,44382.0085,,402427.6031,7.01,,,34.76,782551.355,1236842.0072,2023FY,2023
3,600535,天士力,375204.7177,72386.3612,167887.6363,30585.4867,,1719590.11887,4.36,56584.313,,466966.2581,,,,34.45,807082.7472,1218244.255064,2023HY,2023
4,600535,天士力,,,,,,17767651578.68,,,,,,,,,,12820339753.74,2023Q1,2023
5,600535,天士力,431949.942487,97971.317125,172640.84371,,,1767543.833912,,49348.494711,,4953884.90024,,,121505.476246,280.27,8396153.24284,1272155.343888,2023Q3,2023
6,600535,天士力,299355.7964,78013.6942,171192.4485,52471.9706,,1497629536.269,-10.4,41877.0963,,286510.2077,-28.8,,,0.02,815456.4723,1190332900.235,2024FY,2024
7,600535,天士力,445956.7686,86839.0657,181556.0182,133617.3414,,1760426.378955,5.32,49797.0188,,476127.5218,1.96,,,52.57,846105.5965,1253108.938124,2024HY,2024
8,600535,天士力,436025.807786,83612.873903,179401.954316,,,1751700.989752,4.8,54056.628467,,453956.09332,11.35,,,34.35,,1265847.282696,2024Q1,2024
9,600535,天士力,363566.4279,104069.7295,170828.5219,,,1683474.5204,-4.76,47169.9249,,381722.0058,-92.29,8617.2236,99328.7736,22.67,864094.8761,1301752.5146,2024Q3,2024
10,600535,天士力,279103.0238,113974.3693,155569.5469,143633.3592,31275.1887,1544859.678775,3.15,47970.6129,,284787.7764,-40.19,,,18.43,863047.1255,1237739.15932,2025HY,2025
11,600535,天士力,,,,,,1499674.716987,0.14,,,,,,,,,1191997.720712,2025Q1,2025
12,600535,天士力,2602634982.79,1185791369.76,1428786363.13,,,14957313565.18,-0.13,266232913.3,,2457231546.36,-13.86,,,16.45,8526418431.58,12304421518.24,2025Q3,2025
