serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600535,天士力,-0.17,859319.9779,8.06,,-25651.405,-110.87,,8.28,-2.04,1.53,72179.4768,0.48,64.07,3.0,5.73,2022FY,2022
2,600535,天士力,0.72,867401.4165,0.42,12.98,107107.2345,505.34,12.98,8.24,8.75,8254.0968,118114.9495,60.11,66.85,12.39,9.65,2023FY,2023
3,600535,天士力,0.4715,4392000.75973,8.88,-99.79,70710.393384,269.75,-99.97,5.38,5.62,0.56,69100.296592,51.82,68.28,16.1,5.6165,2023HY,2023
4,600535,天士力,0.1774,2080286985.33,,241985.26,266078260.25,,1037385.33,,2.13,0.0996,279023315.95,,,12.79,2.18,2023Q1,2023
5,600535,天士力,0.69,657139.209082,,-85.04,103242.97046,400.03,46.01,,8.12,0.7282,105379.614029,,63.05,15.71,8.28,2023Q3,2023
6,600535,天士力,0.64,849814186.215,-2.2,-2.2,955586168.91,-10.78,-15.48,1190332900.235,7.68,134.76,1035706322.69,-12.31,67.16,11.26,8.33,2024FY,2024
7,600535,天士力,0.4433,437173.94462,59.45,59.45,66230.844034,-6.33,59.45,4.43,5.29,4.43,73459.171812,6.31,69.45,15.15,5.86,2024HY,2024
8,600535,天士力,0.1976,204865.496231,-1.73,-76.38,29521.118376,11.58,-72.44,,2.33,-0.2255,29358.088471,5.22,63.23,14.41,2.32,2024Q1,2024
9,600535,天士力,0.12,209082.035,-4.06,-52.17,17989.2796,-44.67,-72.84,,1.38,118992.9758,24770.5018,-31.72,,8.6,1.9,2024Q3,2024
10,600535,天士力,0.52,428820.885632,-1.91,108.68,77469.653298,16.97,146.48,,6.38,78959.227979,64004.846461,-12.87,69.71,18.07,5.27,2025HY,2025
11,600535,天士力,0.2104,205488.63852,0.3,-99.98,31430.958508,6.47,-100.0,,2.64,-36237.020385,23622.187198,-19.54,,15.3,1.98,2025Q1,2025
12,600535,天士力,0.66,6310672857.39,3018175.99,1471533.74,984373210.94,16.88,1270556.53,,8.06,0.5851,829194499.57,-15.59,65.37,15.74,6.74,2025Q3,2025
