serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600535,天士力,-25651.405,-215.89,,856238.5767,8.41,,287954.7231,36773.7779,,84423.0043,,409151.5053,55380.0683,55380.0683,,,2022FY,2022
2,600535,天士力,107107.2345,517.55,8275.392,867401.4165,1.3,288010.2758,298352.5729,34236.9879,-1905.5286,91726.9144,12869.5266,723290.749,1236842.0072,122109.6557,-512.4836,-819.2988,2023FY,2023
3,600535,天士力,70710.3934,269.75,35608570.23,439200.076,8.76,1485541887.36,147568.2953,157279823.75,7398916.78,35166.8041,65763969.4,2044612782.58,828662485.79,828662485.79,,,2023HY,2023
4,600535,天士力,262651994.66,,,,,,,,,,,,,,,,2023Q1,2023
5,600535,天士力,100031.592661,-1.97,2171.0254,409210.8241,11.91,151188.6701,222861.876645,22875.603692,1117.8496,55832.436438,9220.238207,463096.6747,120667.176295,,,,2023Q3,2023
6,600535,天士力,955586168.91,7.68,7830.0058,849814.19,-2.03,279225.2552,298829.7161,34540.0341,-2517.6979,83006.9862,12594.5909,705678.8846,95558.6169,,-23176.6427,-62.2156,2024FY,2024
7,600535,天士力,65301.083,-7.65,,437173.9445,-0.46,142268.067355,284352229.24,10427781.0,13060834.88,,,307983113.1874,1809672980.91,662308440.34,,,2024HY,2024
8,600535,天士力,29301.305452,-99.99,279.2208,145831.9779,-1.73,53615.8812,69299.248945,7272.324532,565.685371,19938.393036,,150691.5331,39771.6622,,0.0,-29.0152,2024Q1,2024
9,600535,天士力,82814.4305,-17.21,,646255.9795,57.93,,220902.0849,24297.1259,-1173.7586,56477.0537,,300502.5059,345753.4736,,,,2024Q3,2024
10,600535,天士力,77469.653298,16.97,,428820.8856,-1.91,1248181212.46,152507.3254,,,34294.8411,,1248368014.6265,-1247939193.7409,90461.8663,,,2025HY,2025
11,600535,天士力,332084.62096,1033.34,,,,,,,,,,,,,,,2025Q1,2025
12,600535,天士力,992545465.74,1198417.53,44500936.18,,-2.35,,2280808174.57,237922970.98,-13917058.77,553431873.87,97123342.07,3155369302.72,1158852117.03,1152753398.51,108761.26,-14529886.1,2025Q3,2025
