serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600557,康缘药业,1601299830.99,119451960.08,119451960.08,17000.0,,6698431720.3,70.82,119451960.08,214869343.16,2443207520.3,-100.0,21486.9343,,57.38,214869343.16,4255224200.0,2022FY,2022
2,600557,康缘药业,196927.2883,65376.6074,35010.8245,46000.0,,711732.1668,4.73,22841.8639,,91.344,-100.0,2516.5641,,78.7,418270.8772,519279.7031,2023FY,2023
3,600557,康缘药业,197732.0416,68269.3955,34303.2871,18200.0,,680435.3376,0.13,,,13428.6082,37.27,,,5.83,391453.4544,492524.6004,2023HY,2023
4,600557,江苏康缘药业,,,,,,671819.9483,-1.14,,,,,,,,,507690.4926,2023Q1,2023
5,600557,康缘药业,,,,,,669586.7875,-1.47,,,150915.062,,,,29.77,,518671.7255,2023Q3,2023
6,600557,康缘药业,219507.6102,52592.0723,54026.9822,4000.0,47280.554,690676.2381,-2.96,18917.4322,,220167.189,240930.82,2545.5211,,31.88,406850.2873,470509.0491,2024FY,2024
7,600557,康缘药业,21000.0,65405.75,50352.904601,21000.0,283845544.57,705424.7599,-0.89,23092.6715,0.0,190962.294653,10.26,1855.3585,0.0,37.37,430095.6523,514852.1172,2024HY,2024
8,600557,康缘药业,204617.4149,69543.5384,39581.5183,,,737997.1173,9.85,25375.4565,,,,1609.7493,,,439962.1757,550935.8417,2024Q1,2024
9,600557,康缘药业,,,,,,690273.9552,-3.01,,,,,,,,,533574.359,2024Q3,2024
10,600557,康缘药业,206169.0183,50744.8631,45300.9371,,,683338.655155,-8.67,11958.4318,,197958.769,3.66,,,28.97,,465694.516831,2025HY,2025
11,600557,康缘药业,209417.2094,52592.449,51537.3931,,,688477.8093,-0.32,15396.7524,,209413.5216,-4.87,,,44.73,,479064.2877,2025Q1,2025
12,600557,康缘药业,,,,,,674025.035,-2.41,,,,,,,,,491278.7382,2025Q3,2025
