serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600557,康缘药业,663717460.65,9.65,99594.0,150.06,,-16394.0276,-24.7,,,,,-16828.9256,-25.36,2022FY,2022
2,600557,康缘药业,1041003849.89,4.52,104100.385,81.39,,-46000.0,-35.97,,,,,69800.0,54.57,2023FY,2023
3,600557,康缘药业,456366532.43,21.84,456366532.43,100.0,,-3749.4519,-0.0,,,,,0.0,0.0,2023HY,2023
4,600557,江苏康缘药业,-127969605.82,,-6067.27,47.41,,-6493.9266,50.75,,,,,-235.764,1.84,2023Q1,2023
5,600557,康缘药业,-107133643.66,,77373.0389,-722.21,,-74989.4844,699.96,,,,,-13096.9189,122.25,2023Q3,2023
6,600557,康缘药业,185820246.52,-82.15,56202.0748,353.24,448436.7384,2176.0544,13.68,149340.0,181322.5949,0.0,0.0,-42467.5792,-266.91,2024FY,2024
7,600557,康缘药业,39074.548189,-14.38,39074.5482,391.09,2259796227.6,4611.040208,46.15,0.0,0.0,0.0,0.0,-33694.376145,-337.24,2024HY,2024
8,600557,康缘药业,76901265.79,160.09,19886.7927,258.6,,-10548.7133,-137.17,,,,,-1647.9528,-21.43,2024Q1,2024
9,600557,康缘药业,-155388878.1,-45.04,60752.2058,-390.63,,-33365.0251,214.53,,,,,-42939.5392,276.1,2024Q3,2024
10,600557,康缘药业,144348147.85,369317.32,14434.814785,100.0,,,,,,,,,,2025HY,2025
11,600557,康缘药业,-73609393.53,-195.72,7693.6099,-85.39,,-15055.2818,167.1,,,,,-1647.9528,18.29,2025Q1,2025
12,600557,康缘药业,,-39.17,34612.4906,100.0,,,,,,,,,,2025Q3,2025
