serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600557,康缘药业,119402.68,19.64,4154.4728,432341.56,19.64,1168581149.45,1867832133.95,189599006.03,-8836686.32,605730307.34,3798637.11,2689150183.43,292938.88,2929388836.87,10846418.75,9406172.59,2022FY,2022
2,600557,康缘药业,53673.2878,-55.05,,483953.28,11.94,,,,,771690071.27,,771690071.27,359391.36,359391.36,0.0,0.0,2023FY,2023
3,600557,康缘药业,28288.9035,30.6,2243.7664,255316.7904,21.36,61988.2063,101107.0628,9159.5819,-754.7967,35066.9095,3550.7805,61988.2063,179074.356,179074.356,,,2023HY,2023
4,600557,江苏康缘药业,14527.2114,,,135249.3842,,,59454.9923,5498.8069,-327.5331,18857.7938,,83484.0599,51765.3243,,,,2023Q1,2023
5,600557,康缘药业,35975.3804,24.24,,349603.1022,,,148324.2853,14954.1308,,51000.5109,,214278.927,44706.3761,,,,2023Q3,2023
6,600557,康缘药业,38092.3009,-29.03,,386491.71,-20.14,101128.4098,,,,,,101128.4098,285363.3002,,,,2024FY,2024
7,600557,康缘药业,26542.3194,-3.73,4264.088099,225979.6228,-11.49,57523.1267,85443.4479,21008.6534,-1796.5015,33919.541376,35294055.43,35490153.6979,271295082.87,316812470.59,0.0,467888.64,2024HY,2024
8,600557,康缘药业,14956.7585,2.96,530.1146,135902.0286,0.48,,50885.7832,11651.3658,,20412.4847,2154.5793,85104.213,18259.4684,,,,2024Q1,2024
9,600557,康缘药业,36398.33,2.18,,310953.5858,-11.06,,,,,,,,,,,,2024Q3,2024
10,600557,康缘药业,14236.935366,-46.36,,164157.7929,-29.06,,,,,,,,,18078.2408,,,2025HY,2025
11,600557,康缘药业,8555.2385,-42.8,,,-35.38,22657.2241,32901.5961,7584.81,,13191.497,,76335.1272,10432.3257,10378.5743,,,2025Q1,2025
12,600557,康缘药业,20769.6891,-35.63,,,,,,,,,,,,,,,2025Q3,2025
