serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600566,济川药业,481894.0847,283165.8804,39147.6725,304455.1589,,1498120.2241,23.49,126997.8531,,362867.72,,0.0,0.0,24.22,2491872201.94,1133738.5551,2022FY,2022
2,600566,济川药业,,,,,,1814369.4579,21.11,,,,,,,,,1334944.1189,2023FY,2023
3,600566,济川药业,8243545.55,,531173.49,1588335.43,44143.6371,16387412.41,9.39,,,449200.0038,0.0,,,52.36,,11878059.01,2023HY,2023
4,600566,湖北济川药业,746775.904005,224562.102601,49772.8551,168372.978712,39959.580669,1577084.032103,5.27,160558.404783,22274.34723,373659.376831,3.0,,,30.03,751297.603433,1201770.657491,2023Q1,2023
5,600566,湖北济川药业,,,,,,1660065.4564,,,,,,,,,,1248392.0272,2023Q3,2023
6,600566,济川药业,41095.4341,8412.02,,516097.69,,1845949.3906,1.74,29193.06,,373306.7568,,,,20.22,199043.3665,1470185.2749,2024FY,2024
7,600566,济川药业,516551.61,179039.1266,69763.8691,516551.606,,1804956.3593,-0.52,148609.5423,,451868.9648,0.59,,,25.03,898955.5464,1350846.5659,2024HY,2024
8,600566,湖北济川药业,1139207.9679,195637.8303,57119.5002,144270.595,,1936140.5368,22.77,166322.9842,,514599.613,37.72,,163615.5724,26.58,969304.2465,1421540.9239,2024Q1,2024
9,600566,济川药业,652306.331684,,66369.916537,517832.467736,,1815177.61848,9.34,,,405664.0512,,,,27.85,,1409513.56728,2024Q3,2024
10,600566,济川药业,474641.6603,161001.4503,33855.3979,617879.4041,,1667603.5332,-9.66,109073.8153,,757171.56,-8.15,,,45.66,,1350431.9773,2025HY,2025
11,600566,济川药业,,,,,,1833349.757836,-0.68,,,,,,,,,1516729.752995,2025Q1,2025
12,600566,济川药业,,,,,,1653353.1542,-10.43,,,,,,,,,1382941.3056,2025Q3,2025
