serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600566,济川药业,2.44,899636.6979,17.9,17.9,217075.4634,26.27,26.27,12.3,21.91,1.62,202859.08,30.3,68.25,24.13,21.91,2022FY,2022
2,600566,济川药业,3.08,965453.7193,7.32,406.06,282278.1165,30.04,367.11,14.61,21.15,3.8,269230.6739,32.72,,29.24,22.99,2023FY,2023
3,600566,济川药业,1.463,462897.6,19.82,93.82,133984.39,31.93,97.98,3.35,11.15,3.73,124739.1,38.47,83.56,29.01,10.38,2023HY,2023
4,600566,湖北济川药业,0.739,238829.688409,9.87,-73.45,67675.683278,16.44,-68.82,,5.8,1.4212,60606.678661,20.6,82.02,28.34,5.04,2023Q1,2023
5,600566,湖北济川药业,0.66,190778.8906,,-58.79,60431.4013,,-54.9,,4.99,3.1231,58089.2254,,,31.68,4.65,2023Q3,2023
6,600566,济川药业,2.76,801689.4757,-16.96,38.1,253155.406,-10.32,33.04,1470185.27,18.18,2.3728,226596.4029,-15.84,79.34,31.58,18.18,2024FY,2024
7,600566,济川药业,1.454,403440.02,-12.84,67.92,133830.7,-0.11,58.33,,9.55,1.7028,118048.9517,-5.36,,33.17,8.42,2024HY,2024
8,600566,湖北济川药业,0.923,240254.5954,0.6,-75.11,84526.6462,24.9,-70.06,,6.14,1.4619,72625.7024,19.83,81.12,35.18,5.11,2024Q1,2024
9,600566,济川药业,2.071,580513.45112,-11.19,43.89,190282.955486,-2.13,42.18,,13.5,1.8932,169928.608974,-7.06,,32.78,12.06,2024Q3,2024
10,600566,济川药业,0.78,2748717966.21,-31.87,1801877.98,724364011.18,-45.87,1644926.0,14.89,4.91,10.57,62063.0137,-47.43,79.53,26.35,4.21,2025HY,2025
11,600566,济川药业,0.48,152538.93163,-36.51,-80.97,44033.590483,-47.91,-82.61,,2.95,0.8654,39213.782314,-46.01,,28.87,2.59,2025Q1,2025
12,600566,济川药业,0.33,118333.9279,-33.17,-100.0,29809.9416,-47.19,-100.0,,2.21,0.7788,23862.6673,-54.0,,25.19,1.73,2025Q3,2025
