serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600572,康恩贝,0.0,0.0,0.0,0.0,0.0,1092996.49,-3.05,0.0,0.0,0.0,-3.99,0.0,0.0,0.0,1500788.89,691385.14,2022FY,2022
2,600572,康恩贝,257000.8589,110872.9622,133296.9463,8784.4256,23793.763,1123824.151301,2.81,70019.1483,,684000.0,,4365.303,64815.2979,34.6,3640359067.32,704106.370895,2023FY,2023
3,600572,康恩贝,252623.9373,153070.5025,124544.2293,,,1148710.92,5.1,11375.4188,,409722.5629,13.76,,,43.04,365000.2022,701387.53,2023HY,2023
4,600572,康恩贝,243011.92397,131793.616747,117994.883889,,,1177327.28703,,62110.861257,,417437.849832,,,,35.46,384435.613714,759889.437198,2023Q1,2023
5,600572,康恩贝,168224.8213,12204.8049,18024.4671,,,1116178.3748,,4818.9973,,226097.1655,,224.6004,10007.8528,20.26,,712470.9759,2023Q3,2023
6,600572,康恩贝,45260.31,15938.28,126575.3966,,22380.89,18250.13,1.84,78280.4457,,298909.6604,-31.38,3768.1885,,30.18,363538.6873,691267.9905,2024FY,2024
7,600572,康恩贝,138784.1006,143853.84,130472.24,,,1025445.8238,-8.75,70904.2283,2539.1104,329323.6856,0.0,2539.1104,39867.5277,38.97,351056.7917,667563.2398,2024HY,2024
8,600572,康恩贝,236697.568487,147545.202838,127304.293917,,,1131039.905443,0.64,66965.126686,,384338.668912,-1.12,,,33.97,,746701.236531,2024Q1,2024
9,600572,康恩贝,22521.9915,14476.2771,18137.5374,,,974919.7613,-13.22,5506.6471,,163728.7494,-27.58,,,16.79,,665467.1622,2024Q3,2024
10,600572,康恩贝,87285.1,135064.9181,115418.5282,,10762.1066,981473.4645,-0.88,73919.076,,289923.62,112409.23,3515.4308,,30.07,,681458.1379,2025HY,2025
11,600572,康恩贝,,,,,,996900.154792,0.68,,,285445.584777,-4.85,,,40.76,,701795.076482,2025Q1,2025
12,600572,康恩贝,,,,,,1013325.996583,2.34,,,,,,,,,706162.922359,2025Q3,2025
