serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,600572,康恩贝,0.14,600044.34,-8.64,0.0,35809.99,-82.25,0.0,2.81,5.03,0.4517,48311.61,205.39,59.41,5.98,6.89,2022FY,2022
2,600572,康恩贝,0.23,673279.703714,12.2,12.2,59157.294169,65.19,65.19,2.74,8.45,0.35,55366.35955,14.6,58.91,8.82,7.93,2023FY,2023
3,600572,康恩贝,0.201,376454.28,0.0,0.0,51613.19,143.01,0.0,7.01,7.21,0.0,41542.96,33.01,62.78,15.31,5.85,2023HY,2023
4,600572,康恩贝,0.11,213054.257091,25.27,-64.49,28420.966146,175.17,-20.63,,3.74,0.0321,26361.344026,36.42,96.0,13.34,3.47,2023Q1,2023
5,600572,康恩贝,0.042,141972.4082,0.88,-62.29,10710.5515,532.29,-79.25,,1.5,-0.0089,9474.8512,-27.35,52.16,7.54,1.33,2023Q3,2023
6,600572,康恩贝,0.25,651516.34,-3.23,344.86,62241.7,5.21,5.21,2.68,9.12,0.25,51615.82,-6.77,53.42,10.12,7.62,2024FY,2024
7,600572,康恩贝,0.15,344845.23,-8.4,-8.4,38219.87,-25.95,-25.95,2.59,5.43,0.12,33642.0585,-19.02,55.14,11.1,5.43,2024HY,2024
8,600572,康恩贝,0.084,182424.515397,-14.38,-72.91,21606.298371,-23.98,-63.48,,2.89,0.0627,20146.929871,-23.57,57.01,11.84,2.7,2024Q1,2024
9,600572,康恩贝,0.054,146455.4939,3.16,-57.53,13625.894,27.22,-64.35,,2.05,0.1817,8782.1429,-7.31,53.6,9.3,1.32,2024Q3,2024
10,600572,康恩贝,0.137,335834.6724,-2.61,99.33,35360.7809,-7.48,86.7,2.63,5.05,0.155,29653.0705,-11.86,54.17,10.54,5.05,2025HY,2025
11,600572,康恩贝,0.075,168481.83791,-7.64,-74.14,18939.582461,-12.34,-69.57,,2.7,0.0597,16248.636358,-19.35,54.81,11.24,2.32,2025Q1,2025
12,600572,康恩贝,0.091,1617233.49176,10.42,381.56,23042.692777,69.11,-34.84,,3.32,0.2099,13455.32229,53.21,,1.42,1.91,2025Q3,2025
