serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600594,益佰制药,34529.91,-63.04,34529.9145,167.3,34529.91,-30777.78,-149.12,-30777.78,0.0,16886.89,0.0,16886.89,81.82,2022FY,2022
2,600594,益佰制药,37760.98,9.36,37760.9813,342.27,,-11559.4273,-104.78,,,,,-15169.0212,-137.49,2023FY,2023
3,600594,益佰制药,8625.792191,76.36,20230.3,234.53,158200.0,-12341.77,-143.08,12341.77,12341.77,50884.57,501473.12,737.26,8.55,2023HY,2023
4,600594,益佰制药,94650144.38,,5879.4665,62.12,,-3209.3988,-33.91,,,,,6794.9467,71.79,2023Q1,2023
5,600594,贵州益佰,96577671.9,,34315.5293,100.0,,,,,,,,,,2023Q3,2023
6,600594,益佰制药,-76990000.0,-76.99,8687.3037,-49.17,,-10383.6829,58.77,,,,,-15970.6367,90.4,2024FY,2024
7,600594,益佰制药,20309.67,-56.37,20309.6744,540.97,,-3681.757,-98.07,4833.359,1.3007,23878.4183,26536.6149,-12873.5818,-342.9,2024HY,2024
8,600594,贵州益佰,7113.12,-99.99,9575.45,100.0,,,,,,,,,,2024Q1,2024
9,600594,贵州益佰,-87804427.14,-41.77,19980.3323,-227.59,,-5638.5904,64.23,,,,,-23120.9313,263.36,2024Q3,2024
10,600594,益佰制药,170552825.68,0.0,17055.2826,64.26,0.0,-153.3933,-0.58,0.0,0.0,0.0,0.0,9640.747,36.32,2025HY,2025
11,600594,益佰制药,-63932752.5,-898900.42,752.6352,100.0,,,,,,,,,,2025Q1,2025
12,600594,益佰制药,72688291.94,182.78,20379.8225,280.35,,-2296.7099,-31.59,,,,,-10813.7801,-148.76,2025Q3,2025
