serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600594,益佰制药,-43832.75,-218.54,181.63,273526.28,,27063.7151,119579.58,33724.89,3331.43,12693.31,4626.14,201019.0651,-42646.72,-42646.72,-64384.03,86.96,2022FY,2022
2,600594,益佰制药,10339.9,123.59,1283.2992,282056.1015,3.12,30062.1836,123844.0638,35147.8113,633.2416,11214.7338,,200902.0341,10339.9,,-7037.8582,187.7487,2023FY,2023
3,600594,益佰制药,12790.6,-3.21,1295.25,147970.14,10.72,42561.52,65098.52,16630.98,258.26,4836.99,2313.5622,131699.8322,105406.62,105406.62,-2092.57,97.32,2023HY,2023
4,600594,益佰制药,4150.7966,-12.96,,68379.7927,-0.59,21875.7536,29651.0923,7189.3743,86.347,2246.1953,1220.3357,62269.0981,5447.8934,5272.131,-1371.578,117.4637,2023Q1,2023
5,600594,贵州益佰,16149.9907,,1897.7405,,,,93675.6363,24676.5696,1108.4046,7385.2804,,126845.8909,,,-2742.9216,100.3915,2023Q3,2023
6,600594,益佰制药,-31721.5358,-406.79,0.0,217403.1579,-22.92,82943.9869,109678.7271,35635.386,1975.6685,10050.1933,0.0,155364.3064,-31721.5358,-31721.5358,0.0,0.0,2024FY,2024
7,600594,益佰制药,-11097.3984,-183.26,1042.3555,116819.1423,-21.05,,58164.6259,16390.6483,1247.7328,5214.8932,1652.8932,126538.5631,-10643.2219,-11402.4543,-1827.7192,-162.4225,2024HY,2024
8,600594,贵州益佰,-7141.18,-272.04,,,,,,,,,,,,,,,2024Q1,2024
9,600594,益佰制药,-1990.2058,-14.99,14014471.76,99312.3554,-14.99,390755013.32,416905726.45,136581905.42,,37113259.88,,981355905.07,0.0,-2384.6317,-17658871.98,-1092679.76,2025HY,2025
10,600594,益佰制药,-1142.7838,84.0,,50148.0776,,,,,,,,,,,,,2025Q1,2025
