serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600613,神奇制药,160823350.61,1212.57,31923.240336,100.0,,,,,,,,,,2022FY,2022
2,600613,神奇制药,5972.27,0.0,21559.04,360.99,2124001.51114,-3974.61,-66.55,-16082.3351,21559.0356,21559.0356,21559.0356,-11612.15,-194.43,2023FY,2023
3,600613,神奇制药,142354328.59,28.72,14235.4329,233.17,0.0,-2749.778,-45.04,0.0,,0.0,10527.3741,-5380.3971,-88.13,2023HY,2023
4,600613,神奇制药,-8322096.89,,2348.355588,100.0,,,,,,,,,,2023Q1,2023
5,600613,神奇制药,51954308.51,-38.81,16549.8839,318.55,,-3077.1068,-59.23,,,,,-8277.3463,-159.32,2023Q3,2023
6,600613,神奇制药,20778.55,-3.62,20778.55,33.65,204880.8451,-15812.1897,-25.61,15812.1897,15812.1897,56786.8849,56786.8849,56786.8849,91.96,2024FY,2024
7,600613,神奇制药,122913949.68,-13.66,12291.395,248.98,,-575.9997,-11.67,,,,,-6778.7694,-137.32,2024HY,2024
8,600613,神奇制药,,,4280.6771,102.77,,-224.8081,-5.4,,,,,109.2398,2.62,2024Q1,2024
9,600613,神奇制药,139256230.09,168.04,5812.7535,351.76,,-1585.2916,-95.94,,,,,-2575.0033,-155.83,2024Q3,2024
10,600613,神奇制药,-97860779.29,-61.38,4747.4115,-48.51,12044.45,-3667.3726,37.48,,,,,-10865.526,111.04,2025HY,2025
11,600613,神奇制药,-28774798.16,-167.22,,,,,,,,,,,,2025Q1,2025
12,600613,神奇制药,-168305985.47,-220.86,15730.7757,-93.46,,-21323.837,126.69,,,,,-11238.128,66.77,2025Q3,2025
