serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600613,神奇制药,4800.946,-29.17,849.4446,238861.7678,3.41,,,,,,,,,,,,2022FY,2022
2,600613,神奇制药,5700.07,-16.98,10949.9551,1262427045.5,528417.84,1172062.31551,909409200.0,68443900.0,10921.15326,3875210000.0,84570000.0,2246305.24656,82839.19441,83407.96651,-7241260.081,47685.0533,2023FY,2023
3,600613,神奇制药,3473.5719,8.64,0.0,120567.5057,0.29,56850.5034,49525.8748,4109.5244,601.282,2125.8469,1649.4302,114862.4617,5320.4692,5367.3235,-209.362,-443.1436,2023HY,2023
4,600613,神奇制药,2335.11023,,,,,,,,,,,,,,,,2023Q1,2023
5,600613,神奇制药,6607.8062,25.24,544.6524,204880.8451,-12.48,,69235.4426,9265.4588,486.9249,3288.5109,2691.4343,84967.7715,9166.7091,8757.7867,-2311.9643,-1583.9065,2024FY,2024
6,600613,神奇制药,3783.7025,8.93,303.7469,111036.6035,-7.91,58420.4305,38748.0186,4107.7881,29.263,2511.5734,,109798.6105,13237.993,13237.993,,,2024HY,2024
7,600613,神奇制药,2512.3137,7.59,,,,,21244.3264,1861.5043,164.7172,896.0101,,24166.558,,,,,2024Q1,2024
8,600613,神奇制药,5881.4157,,389.2837,156327.3519,,79920.9935,55964.7312,6657.0449,188.3585,3189.5111,,145920.6392,10795.9964,,,,2024Q3,2024
9,600613,神奇制药,3280.8147,-13.29,265.1718,96084.9847,-13.47,51077.496,31799.4849,4499.4684,143.8872,1385.0932,1447.4919,90352.9216,5997.2349,4545.4724,801.7259,596.8578,2025HY,2025
10,600613,神奇制药,1571.7573,-37.44,,47992.6835,,25546.7265,16012.8803,2191.038,141.9129,765.6281,,44658.1858,3334.4977,,,,2025Q1,2025
11,600613,神奇制药,5109.1019,8.95,,,,,,,,,,,,,,,2025Q3,2025
