serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600671,ST 目药,-1937.05,26.69,-1937.05,100.03,4319.0388,-0.058,0.0,220.0,12293.765,5565.0,5545.0,0.5606,-0.03,2022FY,2022
2,600671,*ST目药,5640.0,183.25,-2042.882092,-36.76,,-882.641005,-15.88,,,,,8482.534705,152.65,2023FY,2023
3,600671,*ST目药,-3025.1,-652.27,-3025.1049,100.0,0.0,0.0,-0.0,0.0,0.0,0.0,,0.0,-0.0,2023HY,2023
4,600671,ST 目药,,,-1198.94,76.94,,-114.5979,7.35,,,,,-244.7078,15.7,2023Q1,2023
5,600671,杭州天目山药业,,,-2888.224208,-49.33,,-427.049381,-7.29,,,,,9170.665091,156.62,2023Q3,2023
6,600671,ST 目药,-3667.44,-165.03,-3667.44,100.0,5026.6441,-0.2686,0.01,98.6209,35.861,500.0,3000.0,0.1304,-0.0,2024FY,2024
7,600671,ST目药,-45686364.31,-1510143.11,-2812.8424,61.57,,-997.75,21.84,,,,,-758.05,16.59,2024HY,2024
8,600671,杭州天目山药业,-357.372368,,-357.372368,8.5,,-305.765762,7.27,,,,,-3541.053766,84.23,2024Q1,2024
9,600671,ST 目药,-3895.705921,,,,,-1857.107909,41.73,,,,,-2593.218268,58.27,2024Q3,2024
10,600671,天目药业,-1087.21,61.35,-1087.2094,32.79,,0.0,-0.0,,,,,-2228.9672,67.21,2025HY,2025
11,600671,ST 目药,-23208962.11,-6494235.93,-9652306.07,41.59,,-8154082.1,35.13,,,,,-5402573.94,23.28,2025Q1,2025
12,600671,天目药业,-4136.549942,-6.18,,,,,,,,,,,,2025Q3,2025
