serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600750,江中药业,59605.87,17.87,45807221.96,3811641.51,,,148125.83,205288447.99,-27311863.04,99970632.0,,278095342.78,-228476479.31,,,,2022FY,2022
2,600750,江中药业,708291520.66,18.4,3905.9324,439010.1979,-88.48,70629.1407,162816.2039,21062.0085,-3867.8975,13333.3092,6264.5766,0.0,89411.5646,0.0,0.0,0.0,2023FY,2023
3,600750,江中药业,1407.7956,13.95,2078.6439,229754.9382,20.87,39034.061,90536.118864,9220.489249,-2650.2801,4574.727296,3165.4742,143880.5905,87952.9916,,0.4952,502.3051,2023HY,2023
4,600750,江中药业,25801.556403,33.63,981.853397,131637.872666,,42135.891308,53149.535411,4992.238441,,2664.228945,1729.871585,103430.188935,30006.622182,,372.916931,135.186179,2023Q1,2023
5,600750,江中药业,62467.0386,16.74,,314005.9049,9.24,,122538.215,14390.8457,-4328.2189,7084.391,,139685.2328,72661.2839,73316.1533,,,2023Q3,2023
6,600750,江中药业,86050.6989,9.28,,443545.0591,1.03,,,,,,,,114260.31,82519.26,,,2024FY,2024
7,600750,江中药业,48875.34,3371.76,24407890.93,114468.4789,-50.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7606008.65,23864648.3,2024HY,2024
8,600750,江中药业,28454.5136,9.99,,122740.4484,-8.74,38329.2218,45122.8957,3986.3057,,2861.5257,1770.8509,89942.1405,33521.5496,33605.513,-822.0501,1140.246,2024Q1,2024
9,600750,江中药业,68389.2871,9.48,,297187.9126,-5.36,,105507.3662,13635.0487,,7786.2126,,126928.6275,80685.2229,,,,2024Q3,2024
10,600750,江中药业,52233.750328,5.8,,214111.8143,87.05,35354.3227,63679.6962,9716.2815,,6742.9292,,115493.2296,70086.7216,,,,2025HY,2025
11,600750,江中药业,74268.7211,5.54,,,,,,,,,,,,,,,2025Q3,2025
