serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,600771,广誉远,24639.85,,,,,271969.47,-12.34,15670.4378,,104752.89,,469.5777,16500.0,61.65,-41117.1399,170170.59,2022FY,2022
2,600771,广誉远,181.2151,48834.7,56953.0,0.0,0.0,2628413.54,0.0,7644.6297,469.5777,20749.6772,-80.19,,5606.4167,0.0,-60867.4316,149612.76,2023FY,2023
3,600771,广誉远,26760.0565,66819.4048,44237.2144,3338.6301,,268850.3925,-1.15,1193.103,461.2485,95474.7796,0.0,24785.8045,8600.0,53.27,100640.6901,171251.121,2023HY,2023
4,600771,广誉远,,,,,,274798.3958,,,,,,,,,,173360.4516,2023Q1,2023
5,600771,广誉远,,,,,,254568.3856,-6.4,,,,,,,,,174851.7937,2023Q3,2023
6,600771,广誉远,11667.213381,28103.890081,76694.776139,,,227587.646056,-13.41,,,887547877.78,4277305.71,,,0.0,-67766.89,156980.833285,2024FY,2024
7,600771,广誉远,16753.884,41162.5384,69382.4684,0.0,0.0,238664.406051,-9.2,5369.5919,0.0,81020.0616,0.0,4191.9536,5606.4167,0.0,0.0,155573.069264,2024HY,2024
8,600771,广誉远,,,,,,260567.399,-5.18,,,,,,,,,155748.5639,2024Q1,2024
9,600771,广誉远,,,,,,240275.0926,-8.59,,,,,,,,,158819.0967,2024Q3,2024
10,600771,广誉远,34293.251612,34973.56,66479.652076,,5473.6367,245398.2055,7.83,5702.5535,,80958.159388,13.32,27.3585,,32.98,108149.450558,164666.5436,2025HY,2025
11,600771,广誉远,,,,,,240420.32,5.64,,,,,,,,,165633.779,2025Q1,2025
12,600771,广誉远,,,,,,246051.3055,8.11,,,,,,,,,167167.3914,2025Q3,2025
