serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600771,广誉远,25342.62,211.45,25342.62,100.36,25342.6206,-91.845,-0.36,0.0,0.0,0.0,0.0,0.0,0.0,2022FY,2022
2,600771,广誉远,21549.99,-14.97,21549.99,1657.22,,-118.53,-9.12,,,,,-20131.09,-1548.1,2023FY,2023
3,600771,广誉远,278529497.29,418.59,27852.9497,1272.45,,19.4554,0.89,,,,,-25683.483,-1173.34,2023HY,2023
4,600771,广誉远,29943777.0,,13623.8575,100.0,,,,,,,,,,2023Q1,2023
5,600771,广誉远,-18094387.41,,35951.5912,-1986.89,,-27.167,1.5,,,,,-37733.8629,2085.39,2023Q3,2023
6,600771,广誉远,11239.141839,-47.85,11239.141839,-79.39,,-717.231206,5.07,,,,,-24678.329135,174.33,2024FY,2024
7,600771,广誉远,162257697.52,-41.74,16225.769752,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024HY,2024
8,600771,广誉远,126496995.24,322.45,12941.1722,100.0,,,,,,,,,,2024Q1,2024
9,600771,广誉远,-120951875.9,-62.16,13605.3785,100.0,,,,,,,,,,2024Q3,2024
10,600771,广誉远,24605.883026,51.65,24605.883,108.18,2821.0685,-1146.151044,-5.04,,,,,-714.039492,-3.14,2025HY,2025
11,600771,广誉远,115917872.02,-8.36,13421.0823,115.78,,-1117.7171,-9.64,,,,,-711.5779,-6.14,2025Q1,2025
12,600771,广誉远,,47.95,20128.4927,100.0,,,,,,,,,,2025Q3,2025
