serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600976,健民集团,-116771731.36,-12.93,21586.53,36.56,1028.5062,22438.9845,38.0,1028.5062,1028.5062,2251.5625,2251.5625,15023.8311,25.44,2022FY,2022
2,600976,健民集团,120972.56,24.33,26838.97,34.25,244620.73,27486.11,35.07,231923.25,27486.11,101600.46,617.79,24040.86,30.68,2023FY,2023
3,600976,健民集团,7889.44,-5.22,78894391.55,99.98,9985.968,19053.5739,0.02,81500.0,95695.2885,5330.1242,12514.6609,-6783.3071,-0.01,2023HY,2023
4,600976,健民集团,156156005.53,625.73,-6683.8774,-42.8,78257.3343,15847.5384,101.49,1237.0334,0.0,5594.5063,0.0,6451.9396,41.32,2023Q1,2023
5,600976,健民集团,,73.66,16788.99,100.0,,,,,,,,,,2023Q3,2023
6,600976,健民集团,23426.51,-12.71,95419.1252,-0.03,,-158775118.16,55.25,,,,,-128715000.47,44.79,2024FY,2024
7,600976,健民集团,5523.16,-29.99,5523.1621,-57.33,10359.6702,3730.0015,-38.71,,,,,-18887.9795,196.04,2024HY,2024
8,600976,健民集团,,,-5164.709625,957.45,,4452.772122,-825.47,,,,,172.51516,-31.98,2024Q1,2024
9,600976,健民集团,,-36.99,10578.1248,100.0,,,,,,,,,,2024Q3,2024
10,600976,健民集团,5569.51,0.84,5569.51,-1216.77,46856.0033,11722.08,-2560.92,200.0,0.0,0.0,0.0,-17749.32,3877.68,2025HY,2025
11,600976,健民药业,108062831.53,2124.82,-2492.4066,-23.06,88062.6078,12926.5161,119.62,2138.4984,60614.0145,6310.0,6089.5063,372.1737,3.44,2025Q1,2025
12,600976,健民集团,,31.45,13905.0345,100.0,,,,,,,,,,2025Q3,2025
