serial_number,stock_code,stock_abbr,net_profit,net_profit_yoy_growth,other_income,total_operating_revenue,operating_revenue_yoy_growth,operating_expense_cost_of_sales,operating_expense_selling_expenses,operating_expense_administrative_expenses,operating_expense_financial_expenses,operating_expense_rnd_expenses,operating_expense_taxes_and_surcharges,total_operating_expenses,operating_profit,total_profit,asset_impairment_loss,credit_impairment_loss,report_period,report_year
1,600976,健民集团,40756.91,33.52,5722.5587,364080.0477,11.95,1028.5062,1068949900.0,1028.5062,1028.5062,7266240000.0,1028.5062,1028.5062,1028.5062,1028.5062,1028.5062,1028.5062,2022FY,2022
2,600976,健民集团,52145.77,35.3,4155.2669,421315.4573,15.72,227313.2098,134437.6488,17236.6163,108.7668,7404.8998,2903.2838,389404.4253,58400.0,58400.0,-1489.3565,-1007.5927,2023FY,2023
3,600976,健民集团,25237.15,,,216143.0294,,,,,,,,,,,,,2023HY,2023
4,600976,健民集团,9981.3629,,,101338.611,,51017.4737,37920.2725,4419.5163,,1782.3901,762.6428,95902.2954,11080.9927,11036.5518,38.3874,-0.1668,2023Q1,2023
5,600976,健民集团,416690.39,31.85,,,,,,,,,,,,,,,2023Q3,2023
6,600976,健民集团,36217.87,-30.54,,350498.6069,-16.81,1831991279.22,,,,,,1831991279.22,-1831640780.6131,,,,2024FY,2024
7,600976,健民集团,23935.7528,-5.16,4393.6366,200959.6097,-7.02,109699.7536,63260.6108,8497.2288,120.949,4046.8805,1219.8806,186845.3033,109699.7536,109699.7536,38.3874,,2024HY,2024
8,600976,健民集团,10019.744085,0.38,,,,,30427.212357,4210.024756,36.610333,2295.166826,,36969.0143,,,,,2024Q1,2024
9,600976,健民集团,32458.7553,-22.53,,288131.709,,,,,,,,,,,,,2024Q3,2024
10,600976,健民集团,22062.56,-7.83,,180459.9193,15.02,165117.36067,,,,,,165117.3607,23922.76,23922.76,,,2025HY,2025
11,600976,健民药业,11103.8979,10.82,266.9616,89208.4313,,37814.4996,36158.2136,4616.498,319.9672,2100.6583,,81009.8367,12481.8634,12478.3764,,,2025Q1,2025
12,600976,健民集团,28860.3789,-11.16,,255193.4174,-11.43,,,,,,,,,,,,2025Q3,2025
