serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,600993,马应龙,341852836.66,-42.75,34185.2837,-346.25,,-61876.0257,626.72,,,,,17817.744,-180.47,2022FY,2022
2,600993,马应龙,604065441.3,76.7,63285256.5,100.98,,-2721059.23,-4.34,,,,,2106040.0,3.36,2023FY,2023
3,600993,马应龙,-3464.64,-14.91,-3464.6365,8.26,,-34437.94,82.15,,,,,-4017.63,9.58,2023HY,2023
4,600993,马应龙药业,-9072.820178,,-0.9073,0.03,,-15.2912,0.48,,,,,-3191.7549,99.5,2023Q1,2023
5,600993,马应龙,,-70.15,7646.0034,-15.96,,-33845.4111,70.63,,,,,-21719.2742,45.33,2023Q3,2023
6,600993,马应龙,49760.87,100.0,49760.87,-1202.94,372347.2584,-26364.87,637.36,159339.4817,65006.3083,3217.0721,10967.3318,-27532.59,665.59,2024FY,2024
7,600993,马应龙,22516.868613,784.58,22516.8686,106.94,1205.1241,0.0,0.0,,,,,-1461.9012,-6.94,2024HY,2024
8,600993,马应龙,-119192015.56,-1313626.2,5946.502489,-10.25,42877.8352,-62917.004105,108.44,,,,,-1052.118934,1.81,2024Q1,2024
9,600993,马应龙,-209196871.28,314.97,317286449.82,100.03,120159.9844,-67601.2441,-0.02,,,,,-19104.3027,-0.01,2024Q3,2024
10,600993,马应龙,31059.828507,37.94,31059.8285,-171.94,6128.111,-50505.8316,279.58,,,,,1381.2749,-7.65,2025HY,2025
11,600993,马应龙,-1200352838.99,-907.07,15333.298959,-13.67,38263.6584,-127207.4465,113.4,,36095.0512,,,-298.0702,0.27,2025Q1,2025
12,600993,马应龙,-133343.362403,41.77,44980.161275,-33.74,134716.7767,-134717.268054,101.05,,,,,-43585.544973,32.69,2025Q3,2025
