serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,603139,康惠制药,450.16,1857.53,12276.665,450.1616,,182169.88,-2.07,15555.1529,,79575.4114,,795.35,8384.47,45.74,41093.72,97372.67,2022FY,2022
2,603139,康惠制药,16375.4597,24391.472,19934.6172,,,205172.42,12.63,25931.0679,,103180.3481,29.66,568.9601,20055.9009,31.26,36738.1119,94923.39,2023FY,2023
3,603139,康惠制药,25395.8726,19629.2995,28382.5962,,,218807.1556,20.11,24620.9865,,109979.475,,,,57.56,,98632.5822,2023HY,2023
4,603139,陕西康惠制药,22312.6051,17375.3786,12775.3109,,,191851.5275,,14700.0618,,88428.9225,,,13401.6409,46.09,40197.1231,103422.6049,2023Q1,2023
5,603139,陕西康惠制药,,,,,,213885.489609,17.41,,,,,,,,,107384.007746,2023Q3,2023
6,603139,康惠制药,9760.01,21440.5587,19549.2566,35.918,,188784.19,-7.99,23010.9074,,102073.18,-1.07,,,52.13,30807.2595,85732.22,2024FY,2024
7,603139,康惠制药,17336.8239,26882.2677,,184.6024,,203888.845003,-0.63,,,,,,,18.91,36738.1119,94053.190465,2024HY,2024
8,603139,陕西康惠制药,9419.618165,20635.967221,21839.476975,251.499952,6322.522925,197257.883115,2.82,25592.273606,,95560.813738,8.07,912.50365,16006.919892,48.44,36846.741829,101697.069377,2024Q1,2024
9,603139,陕西康惠制药,,,,,,200720.4554,-2.17,,,,,,,,,97435.2113,2024Q3,2024
10,603139,康惠制药,11328.0265,27775.5579,22135.7164,,,186625.2182,-1.14,1553.652,,65428.0951,6.48,,,35.06,28467.5841,81716.0666,2025HY,2025
11,603139,陕西康惠制药,,,,,,191779.9691,-2.78,,,,,,,,,87944.8202,2025Q1,2025
12,603139,陕西康惠制药,,,,,,188638.7586,-0.08,,,114097.3926,16.85,,,60.48,14525.1637,74541.366,2025Q3,2025
