serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,603567,珍宝岛,0.1969,421414885.97,2.12,,185390657.13,-44.18,,7.09891704788,2.6198,-0.33,-280458034.02,-453.95,18.08,4.41,-3.9633,2022FY,2022
2,603567,珍宝岛,0.1969,421414.886,2.12,0.0,18539.0657,-44.18,-61.05,8.02,6.4564,-0.5075,-28045.8034,-453.95,0.0,0.0,-4.5395,2023FY,2023
3,603567,珍宝岛,0.3662,258966.1213,4.46,68.99,34476.7479,42.45,35.66,8.13,4.73,-0.0207,7158.8904,-67.09,34.46,13.32,0.98,2023HY,2023
4,603567,珍宝岛,,153247.901,52.69,-99.96,25414.9498,60.87,-99.99,,3.52,0.2698,23821.2167,80.97,35.23,16.61,3.24,2023Q1,2023
5,603567,黑龙江珍宝岛药业,0.5066,343242.231198,3.49,32.54,47591.405515,210.05,38.04,,6.3,-0.3321,19589.99144,106.55,,13.87,2.59,2023Q3,2023
6,603567,珍宝岛,0.4662,270393.4334,-13.84,-26.24,43821.6196,-7.3,9856.46,8.29,5.7,0.1747,40296.7474,1365.5,68.75,16.21,5.7,2024FY,2024
7,603567,珍宝岛,0.4187,166060.49,-35.88,48.63,39333.2,281.93,34.08,4.46,5.08,-2.1129,36211.51,313.74,69.7,23.7,4.68,2024HY,2024
8,603567,黑龙江珍宝岛药业股份有限公司,0.3123,111729.7003,-27.09,-73.49,29336.5825,15.43,58.24,,3.81,0.3123,28164.9753,18.23,,26.26,3.59,2024Q1,2024
9,603567,珍宝岛,0.0046,366602.04701,-26.33,120.76,440.132543,-96.14,-98.88,,0.05,-0.1797,-596.83784,-105.6,,0.12,-0.07,2024Q3,2024
10,603567,珍宝岛,-0.0833,524981045.29,-34.23,1119397.27,-10087000.0,-119.9,-134065.61,2.48,-1.0087,-0.066,-8378.1089,-123.14,48.26,-11.01,-1.0087,2025HY,2025
11,603567,珍宝岛,0.08,46894.356926,-58.03,-82.66,7529.544326,-74.33,-82.82,,0.9,0.08,7257.714311,-74.23,,16.06,0.87,2025Q1,2025
12,603567,珍宝岛,-0.3136,204775.13176,-44.14,-99.96,-29480.844923,-6798.17,99.71,,-3.89,0.2375,-31840.844399,-5234.92,,-14.4,-4.37,2025Q3,2025
