serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,603858,步长制药,758042641.14,0.0,275562.77,363.6,0.0,-101017.8788,-133.29,0.0,0.0,0.0,0.0,-98756.7327,-130.31,2022FY,2022
2,603858,步长制药,-195605226.23,-107.1,-19560.5226,13.69,13228514200.82,-16800.0335,11.76,,,,,-106538.7662,74.56,2023FY,2023
3,603858,步长制药,26786.32,-81.21,26786.323,75.44,,4301.4926,12.12,,,,,4417.4438,12.44,2023HY,2023
4,603858,步长制药,-53965.377134,,-8701.460471,16.12,,-31840.100485,59.0,,,,,-13422.531034,24.87,2023Q1,2023
5,603858,步长制药,-1647500.6522,-118.08,-41180.103975,3.32,,-4029.834535,0.32,,,,,-1195419.55637,96.36,2023Q3,2023
6,603858,步长制药,939950568.92,-98.44,93995.0569,750.82,2017915707.07,-24955.1527,-199.34,119820000.0,0.0,1400970243.3,1153929830.99,-56520.9876,-451.48,2024FY,2024
7,603858,步长制药,497200080.84,85.62,49720.0081,87.47,,-14427.6816,-25.38,,,,,21548.984,37.91,2024HY,2024
8,603858,步长制药,32018.461952,159.33,7411.496192,100.0,,,,,,,,,,2024Q1,2024
9,603858,步长制药,26497.09742,101.61,70146.40293,264.73,,-19458.6275,-73.44,,,,,-24190.43755,-91.29,2024Q3,2024
10,603858,步长制药,95896.835871,92.87,95896.8359,110.94,566383.625389,-22523.81403,-26.06,22523.81403,0.0,0.0,0.0,13065.581922,15.12,2025HY,2025
11,603858,步长制药,61325.285813,814.82,67801.631481,110.55,,-33678.723562,-54.91,,,,,27206.593717,44.36,2025Q1,2025
12,603858,步长制药,48700536.85,183695.74,81509.1913,1673.4,,-35395.8586,-726.68,,,,,-41242.4487,-846.71,2025Q3,2025
