serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,603896,寿仙谷,152471.24,11366.0008,14775.6334,3000.0,,285618.956,45.54,14395.5195,,95057.77,,,,33.28,52447.3074,190552.2315,2022FY,2022
2,603896,寿仙谷,150396.2473,9108.7607,15783.3271,,,317435.4362,11.14,14581.8229,,100306.5665,5.52,,,31.6,,217128.8697,2023FY,2023
3,603896,寿仙谷,169639.7838,9055.901,16986.7723,0.0,,302651.2983,5.96,,,101693.4726,10.55,,,42.41,9268.4203,200957.8258,2023HY,2023
4,603896,寿仙谷,,,,,,298485.155215,,,,,,,,,,197390.454044,2023Q1,2023
5,603896,寿仙谷,141900.166536,10513.024715,17950.46885,,,297714.42078,4.23,11679.010385,,91857.87586,,1006.160335,33200.009,44.59,86790.151644,205856.54492,2023Q3,2023
6,603896,寿仙谷,85364.2355,8636.0293,17955.0878,34468.9164,50172.1485,313118.558,-1.36,13717.0106,,83716.6235,-16.54,,,38.86,71414.3266,229401.9344,2024FY,2024
7,603896,寿仙谷,109547.8938,9820.1408,20702.6702,27000.0,,310670.7578,-2.13,,,89895.6708,-11.6,,,45.07,,220775.087,2024HY,2024
8,603896,寿仙谷,,,,,,322551.56089,1.61,,,,,,,,,225912.402536,2024Q1,2024
9,603896,寿仙谷,,,,,,305446.7037,-3.78,,,,,,,,,223188.4235,2024Q3,2024
10,603896,寿仙谷,82026.0179,3210.232,22497.8555,37944.8026,,326363.7736,4.21,10244.6553,,54000.0,-39.93,,,0.39,100931.48331,231167.9935,2025HY,2025
11,603896,寿仙谷,73150.1989,7929.7755,19737.0499,36666.7685,,311572.6946,-0.49,,,76248.8778,-18.57,,,31.23,,235323.8168,2025Q1,2025
12,603896,寿仙谷,,,,,,315462.4431,3.28,,,,,,,,,231273.6758,2025Q3,2025
