serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,603896,寿仙谷,341283418.25,15.03,34128.3418,453.55,7796.7262,-105.244,-1.4,105.244,,25500.0,26498.349,-26498.349,-352.15,2022FY,2022
2,603896,寿仙谷,315057385.63,-7.68,31505.7386,-45.42,,-129878.2965,187.24,,,,,29008.1278,-41.82,2023FY,2023
3,603896,寿仙谷,161197397.61,38.62,16119.7398,210.21,,-2374.6208,-30.97,,,,,-6076.5741,-79.24,2023HY,2023
4,603896,寿仙谷,2459.815077,,7877.044768,100.0,,,,,,,,,,2023Q1,2023
5,603896,寿仙谷,-17571.072518,,19483.86114,-110.89,,-27353.332734,155.67,,,,,-9701.600924,55.21,2023Q3,2023
6,603896,寿仙谷,21344.03,-32.25,21344.0268,-79.14,,-23975.7573,88.9,,,,,-24338.4217,90.24,2024FY,2024
7,603896,寿仙谷,12864.86,-20.19,12864.8618,-141.31,19000.0511,-23054.1037,253.23,,,,,1085.1867,-11.92,2024HY,2024
8,603896,寿仙谷,17401.19269,668.46,4924.093102,100.0,,,,,,,,,,2024Q1,2024
9,603896,寿仙谷,,-26.61,14298.8211,120.91,,21999.5039,186.03,,,,,-24472.4725,-206.94,2024Q3,2024
10,603896,寿仙谷,12299.41,-4.79,12299.4079,718.12,0.0,-12287.525816,-717.43,0.0,0.0,0.0,0.0,1700.836499,99.31,2025HY,2025
11,603896,寿仙谷,-124326249.08,-714569.7,7017.7811,-56.45,,-9704.1004,78.05,,,,,-9746.3057,78.39,2025Q1,2025
12,603896,寿仙谷,-173596739.53,,2094.0483,100.0,,,,,,,,,,2025Q3,2025
