serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year
1,603896,寿仙谷,1.43,82907.16,8.07,8.07,27778.3036,38.32,38.32,190552.23,16.07,1.7569,25318.3983,27.39,85.99,21.27,16.07,2022FY,2022
2,603896,寿仙谷,1.3,78434.7257,-5.39,44.54,25448.0058,-8.39,82.61,217128.8697,12.44,1.6095,22672.5654,-10.45,84.68,32.44,12.44,2023FY,2023
3,603896,寿仙谷,0.46,37149.0624,6.28,80.2,9023.5789,10.02,44.12,200957.8258,4.58,0.46,7757.7711,17.13,85.32,24.29,4.58,2023HY,2023
4,603896,寿仙谷,0.32,20615.600483,,-75.13,6261.049008,,-77.46,,3.23,0.4026,5571.659879,,,30.37,2.82,2023Q1,2023
5,603896,寿仙谷,0.71,54263.231078,6.89,46.07,13936.076688,7.09,54.44,,6.77,0.9926,11846.665462,7.07,,25.68,5.75,2023Q3,2023
6,603896,寿仙谷,0.88,69168.36,-11.81,479.05,17471.454,-31.34,881.7,229401.93,7.83,2.13,14292.3569,-36.96,82.62,25.27,7.83,2024FY,2024
7,603896,寿仙谷,0.51,,,,1570.1369,11.79,-79.64,,4.53,4.1787,8517.1952,9.79,82.96,,3.82,2024HY,2024
8,603896,寿仙谷,0.39,22090.164934,7.15,-71.84,7713.02421,23.19,-69.69,,3.48,0.249,6814.354761,22.3,,34.92,3.02,2024Q1,2024
9,603896,寿仙谷,0.09,11945.2348,-30.2,,1779.7077,-63.77,13.35,,0.83,0.7231,1179.7264,-71.15,,14.9,0.53,2024Q3,2024
10,603896,寿仙谷,0.33,,,,2973.4278,-33.99,-49.06,11.67,2.82,0.62,3582.436,-57.65,82.65,21.86,1.54,2025HY,2025
11,603896,寿仙谷,0.29,17080.5352,-22.68,-75.31,5837.3966,-24.32,-66.59,,2.51,0.3486,3890.3141,-42.91,81.63,34.18,1.65,2025Q1,2025
12,603896,寿仙谷,0.06,13045.4534,9.21,,1078.3105,-39.41,-63.74,,0.48,0.1165,646.2552,,,8.27,0.28,2025Q3,2025
